YEAR,EVENTS,POPULATION_EXPOSURE
2015,244,0.0
2016,6881,0.0
2017,6935,0.0
2018,9016,0.0
2019,11815,1144313.0
2020,11241,129321534.0
2021,15071,172038060.0
2022,13337,167038508.0
2023,17767,205285777.0
2024,23160,217056959.0
2025,18583,169632318.0
