YEAR,EVENTS,POPULATION_EXPOSURE
1997,244,0.0
1998,249,0.0
1999,217,0.0
2000,248,0.0
2001,231,0.0
2002,267,0.0
2003,291,0.0
2004,317,0.0
2005,452,0.0
2006,310,0.0
2007,399,0.0
2008,428,0.0
2009,517,0.0
2010,676,0.0
2011,2287,0.0
2012,2094,0.0
2013,3524,0.0
2014,3375,0.0
2015,4024,0.0
2016,4400,0.0
2017,3934,0.0
2018,4297,0.0
2019,9474,825736.0
2020,10897,130818500.0
2021,10737,134425900.0
2022,9996,119197527.0
2023,9729,125664298.0
2024,11398,162294940.0
2025,8618,121172149.0
