YEAR,EVENTS,POPULATION_EXPOSURE
2019,39041,6071799.0
2020,37784,605005202.0
2021,49889,723032046.0
2022,44855,675270188.0
2023,47567,737760981.0
2024,48554,771197957.0
2025,39269,627194202.0
