YEAR,EVENTS,POPULATION_EXPOSURE
2017,60,0.0
2018,6524,0.0
2019,9477,1259178.0
2020,38921,266965314.0
2021,45227,299595101.0
2022,36651,250284143.0
2023,32144,225354348.0
2024,32578,221992207.0
2025,27295,188063197.0
