COUNTRY,POPULATION_EXPOSURE,FATALITIES
Palestine,3433733.0,638
Israel,18347.0,0
Palestine,672232.0,6
Israel,52956.0,0
Palestine,741566.0,3
Israel,64381.0,0
Palestine,612276.0,3
Israel,112.0,0
Palestine,302081.0,1
Israel,107049.0,0
Palestine,3372648.0,484
Israel,524188.0,1
Palestine,3753250.0,565
Israel,42577.0,0
Palestine,576378.0,3
Israel,51735.0,0
Palestine,1136626.0,5
Israel,153875.0,0
Palestine,747286.0,2
Israel,98387.0,0
Palestine,676859.0,1
Israel,138424.0,0
Palestine,3451953.0,482
Israel,324990.0,1
Palestine,2952674.0,475
Israel,41545.0,4
Palestine,952059.0,1
Israel,55887.0,1
Palestine,696525.0,1
Israel,190476.0,0
Palestine,476022.0,5
Israel,124274.0,0
Palestine,681558.0,0
Israel,131634.0,2
Palestine,2959217.0,583
Israel,279197.0,1
Palestine,2931469.0,568
Israel,55654.0,0
Palestine,662609.0,2
Israel,145940.0,0
Palestine,529607.0,3
Israel,224977.0,0
Palestine,916323.0,3
Israel,18279.0,0
Palestine,586891.0,0
Israel,2052934.0,26
Palestine,3170614.0,587
Israel,160611.0,0
Palestine,2581337.0,367
Israel,34730.0,0
Palestine,1090757.0,19
Israel,86577.0,0
Palestine,816728.0,3
Israel,100504.0,0
Palestine,496862.0,3
Israel,4718.0,0
Palestine,725999.0,2
Israel,1184991.0,4
Palestine,2589507.0,507
Israel,171827.0,0
Palestine,3206261.0,508
Israel,133930.0,0
Palestine,649554.0,1
Palestine,482394.0,1
Israel,156878.0,0
Palestine,521422.0,1
Israel,25560.0,0
Palestine,510137.0,0
Israel,51416.0,0
Palestine,2889582.0,804
Israel,260378.0,2
Palestine,3147634.0,566
Israel,229072.0,1
Palestine,1746148.0,17
Israel,104223.0,0
Palestine,621561.0,3
Israel,26200.0,0
Palestine,764549.0,1
Palestine,622405.0,1
Israel,15167.0,0
Palestine,3093806.0,599
Israel,281561.0,2
Palestine,3313391.0,580
Israel,180811.0,0
Palestine,715653.0,1
Israel,51735.0,0
Palestine,569958.0,0
Israel,15319.0,0
Palestine,175983.0,0
Israel,39121.0,0
Palestine,474309.0,0
Israel,57174.0,0
Palestine,3248250.0,724
Israel,261602.0,3
Palestine,3096016.0,567
Israel,111402.0,0
Palestine,811286.0,4
Israel,106039.0,0
Palestine,694863.0,0
Israel,90632.0,1
Palestine,345614.0,1
Israel,163395.0,0
Palestine,491281.0,0
Israel,322517.0,0
Palestine,2706614.0,674
Israel,220414.0,1
Palestine,3367631.0,518
Israel,132317.0,0
Palestine,951594.0,5
Israel,57583.0,0
Palestine,564866.0,5
Israel,241253.0,0
Palestine,413157.0,7
Israel,60030.0,0
Palestine,497652.0,1
Israel,132136.0,0
Palestine,2965061.0,662
Israel,309800.0,1
Palestine,3381135.0,462
Palestine,658460.0,5
Israel,35366.0,0
Palestine,799489.0,12
Israel,146121.0,0
Palestine,448807.0,2
Israel,33786.0,0
Palestine,410003.0,1
Israel,218964.0,0
Palestine,2614599.0,604
Israel,504120.0,4
Palestine,3115400.0,429
Israel,31088.0,2
Palestine,704065.0,5
Israel,424415.0,0
Palestine,1545345.0,42
Israel,47705.0,0
Palestine,627980.0,0
Israel,154560.0,0
Palestine,621715.0,0
Israel,46875.0,0
Palestine,2670839.0,515
Israel,139391.0,0
Palestine,3470469.0,612
Israel,90352.0,0
Palestine,558483.0,4
Israel,266257.0,0
Palestine,821200.0,3
Israel,115968.0,0
Palestine,434057.0,4
Israel,231363.0,0
Palestine,1049850.0,4
Israel,231069.0,0
Palestine,2624573.0,417
Israel,228386.0,2
Palestine,3234215.0,730
Israel,97380.0,0
Palestine,1007280.0,5
Israel,29818.0,0
Palestine,489059.0,0
Israel,174898.0,0
Palestine,804239.0,4
Israel,267750.0,1
Palestine,764285.0,0
Israel,44863.0,0
Palestine,3290024.0,407
Israel,408982.0,2
Palestine,3277684.0,470
Israel,143245.0,1
Palestine,888289.0,5
Palestine,606985.0,2
Israel,4835.0,0
Palestine,739206.0,6
Israel,26455.0,0
Palestine,632184.0,0
Israel,122796.0,0
Palestine,2641787.0,488
Israel,202988.0,0
Palestine,3299365.0,308
Israel,81034.0,0
Palestine,798066.0,2
Israel,53056.0,1
Palestine,672999.0,6
Israel,36887.0,0
Palestine,932406.0,1
Israel,13561.0,0
Palestine,391119.0,0
Israel,131532.0,0
Palestine,2852744.0,453
Israel,260341.0,0
Palestine,2895553.0,300
Israel,183898.0,0
Palestine,969226.0,8
Israel,91604.0,0
Palestine,580153.0,4
Israel,181140.0,0
Palestine,989026.0,0
Israel,55227.0,0
Palestine,671964.0,1
Israel,191550.0,0
Palestine,2783663.0,430
Israel,242038.0,2
Palestine,2693986.0,380
Israel,27322.0,0
Palestine,1274717.0,7
Israel,163877.0,1
Palestine,1021332.0,2
Israel,28725.0,1
Palestine,819182.0,1
Israel,53538.0,0
Palestine,346920.0,0
Israel,45172.0,0
Palestine,3105133.0,413
Israel,1311355.0,2
Palestine,3090473.0,261
Israel,97404.0,0
Palestine,1197370.0,3
Israel,89019.0,0
Palestine,1442985.0,8
Israel,60773.0,0
Palestine,676840.0,8
Israel,13561.0,0
Palestine,397498.0,0
Israel,183617.0,0
Palestine,2788191.0,486
Israel,1157900.0,8
Palestine,3161118.0,337
Israel,56095.0,1
Palestine,1067290.0,4
Israel,82789.0,0
Palestine,786063.0,5
Israel,11950.0,0
Palestine,452226.0,0
Israel,299625.0,0
Palestine,896775.0,2
Israel,141890.0,0
Palestine,3022477.0,125
Israel,1288067.0,8
Palestine,3355701.0,641
Israel,2351753.0,1574
Palestine,5127321.0,2193
Israel,30956.0,0
Palestine,1678417.0,8
Palestine,408198.0,1
Israel,139707.0,0
Palestine,580519.0,0
Israel,109373.0,1
Palestine,1864937.0,87
Israel,1096805.0,8
Palestine,3248456.0,646
Israel,1624958.0,7
Palestine,4251409.0,2288
Israel,11489.0,0
Palestine,1451808.0,3
Israel,136762.0,0
Palestine,558604.0,0
Israel,154217.0,0
Palestine,460785.0,0
Israel,186362.0,0
Palestine,1648638.0,70
Israel,1012377.0,4
Palestine,3422443.0,833
Israel,1094668.0,2
Palestine,4020344.0,3054
Israel,74562.0,0
Palestine,1294449.0,11
Israel,23359.0,0
Palestine,465516.0,0
Israel,187888.0,0
Palestine,398346.0,2
Israel,862728.0,10
Palestine,3217221.0,762
Israel,1327075.0,2
Palestine,4369626.0,2236
Israel,95986.0,0
Palestine,1292719.0,8
Israel,14177.0,0
Palestine,636420.0,1
Israel,43578.0,0
Palestine,410254.0,1
Israel,1186182.0,2
Palestine,3317360.0,595
Israel,955802.0,3
Palestine,3987369.0,1636
Israel,148956.0,0
Palestine,912973.0,4
Israel,13897.0,0
Palestine,802019.0,0
Israel,153664.0,0
Palestine,630568.0,0
Israel,1178762.0,2
Palestine,2796822.0,473
Israel,847411.0,1
Palestine,4472832.0,1203
Israel,100882.0,0
Palestine,813171.0,5
Israel,134573.0,0
Palestine,526745.0,2
Israel,294360.0,0
Palestine,672502.0,0
Israel,852993.0,2
Palestine,3121744.0,548
Israel,366691.0,1
Palestine,4290301.0,2817
Israel,160859.0,2
Palestine,736310.0,3
Israel,168836.0,0
Palestine,763906.0,2
Israel,100982.0,0
Palestine,716642.0,1
Israel,663693.0,0
Palestine,3094900.0,331
Israel,165873.0,6
Palestine,3202909.0,218
Israel,11936.0,0
Palestine,845992.0,9
Israel,89628.0,1
Palestine,318140.0,0
Israel,118642.0,0
Palestine,569531.0,1
Israel,31184.0,0
Palestine,2681257.0,387
Israel,469535.0,1
Palestine,4170930.0,2459
Israel,40513.0,0
Palestine,956870.0,6
Israel,38518.0,0
Palestine,452000.0,3
Israel,25570.0,0
Palestine,461343.0,0
Israel,139289.0,0
Palestine,2710254.0,338
Israel,650183.0,0
Palestine,4571637.0,1554
Israel,110072.0,0
Palestine,682914.0,2
Israel,63049.0,0
Palestine,780858.0,2
Palestine,581388.0,1
Israel,125086.0,0
Palestine,2961631.0,393
Israel,935018.0,3
Palestine,4358138.0,1115
Israel,61950.0,2
Palestine,965508.0,3
Israel,30360.0,0
Palestine,808631.0,2
Israel,39121.0,0
Palestine,362282.0,2
Israel,298339.0,1
Palestine,2885155.0,435
Israel,106248.0,0
Palestine,3881775.0,1428
Palestine,698767.0,0
Israel,67411.0,0
Palestine,808180.0,1
Israel,98099.0,0
Palestine,527112.0,1
Palestine,216057.0,0
Israel,65689.0,0
Palestine,2870446.0,342
Israel,295371.0,0
Palestine,3841772.0,1059
Israel,26855.0,0
Palestine,966462.0,5
