COUNTRY,POPULATION_EXPOSURE,FATALITIES
Mexico,5897437.0,138
Mexico,9353495.0,148
Mexico,6931204.0,130
Mexico,8590285.0,151
Mexico,6202328.0,167
Mexico,7628084.0,115
Mexico,7017559.0,156
Mexico,9814303.0,211
Mexico,8694454.0,105
Mexico,9797739.0,172
Mexico,7550908.0,146
Mexico,9894615.0,139
Mexico,7738918.0,160
Mexico,8149496.0,206
Mexico,8936153.0,141
Mexico,9214234.0,148
Mexico,7909365.0,129
Mexico,7471377.0,169
Mexico,8427993.0,144
Mexico,9459430.0,229
Mexico,7870622.0,108
Mexico,7702324.0,152
Mexico,5732488.0,114
Mexico,6041099.0,167
Mexico,9959967.0,165
Mexico,12611811.0,186
Mexico,8801055.0,119
Mexico,9738192.0,131
Mexico,6976201.0,150
Mexico,7079792.0,117
Mexico,8256084.0,146
Mexico,13921945.0,209
Mexico,7822811.0,119
Mexico,10420891.0,177
Mexico,7356281.0,143
Mexico,5661244.0,142
Mexico,6523346.0,128
Mexico,9226186.0,203
Mexico,8202138.0,134
Mexico,11261551.0,174
Mexico,8636481.0,164
Mexico,6539065.0,128
Mexico,8534051.0,158
Mexico,6753370.0,134
Mexico,11708039.0,171
Mexico,9850211.0,175
Mexico,9433936.0,155
Mexico,7398144.0,186
Mexico,7427528.0,129
Mexico,9201720.0,147
Mexico,7051396.0,156
Mexico,7938640.0,113
Mexico,8114787.0,164
Mexico,7962388.0,91
Mexico,8195367.0,145
Mexico,8658787.0,183
Mexico,8519172.0,166
Mexico,8119772.0,156
Mexico,8323951.0,111
Mexico,7500053.0,137
Mexico,8998811.0,153
Mexico,9898576.0,166
Mexico,9085920.0,170
Mexico,6843511.0,110
Mexico,7010239.0,97
Mexico,6971356.0,105
Mexico,8372939.0,144
Mexico,8707947.0,201
Mexico,8055311.0,130
Mexico,9422709.0,184
Mexico,7378555.0,149
Mexico,9378665.0,131
Mexico,6433360.0,118
Mexico,7820416.0,122
Mexico,7698988.0,150
Mexico,7564268.0,125
Mexico,8591636.0,174
Mexico,6976367.0,157
Mexico,7681892.0,139
Mexico,8226825.0,133
Mexico,8170671.0,120
Mexico,6762048.0,132
Mexico,6885967.0,121
Mexico,6544204.0,94
Mexico,5454741.0,104
Mexico,8649601.0,149
Mexico,5578695.0,123
Mexico,2616779.0,93
Mexico,7046964.0,116
Mexico,5906555.0,115
Mexico,7618813.0,215
