COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENT_TYPE,EVENTS
Russia,57.5679,67.8396,Explosions/Remote violence,1
Russia,57.5679,67.8396,Violence against civilians,6
Russia,57.7256,109.0151,Explosions/Remote violence,2
Russia,57.7256,109.0151,Riots,1
Russia,57.7256,109.0151,Violence against civilians,25
Russia,57.7472,39.1041,Explosions/Remote violence,2
Russia,57.7472,39.1041,Violence against civilians,13
Russia,57.9014,159.8265,Violence against civilians,1
Russia,58.1711,31.8241,Explosions/Remote violence,2
Russia,58.3247,81.5294,Violence against civilians,4
Russia,58.4462,43.8231,Explosions/Remote violence,1
Russia,58.4462,43.8231,Riots,1
Russia,58.4462,43.8231,Violence against civilians,2
Russia,58.5638,50.1832,Explosions/Remote violence,1
Russia,58.5638,50.1832,Violence against civilians,6
Russia,58.8858,56.4404,Explosions/Remote violence,2
Russia,58.8858,56.4404,Riots,2
Russia,58.8858,56.4404,Violence against civilians,6
Russia,58.9982,62.2203,Explosions/Remote violence,3
Russia,58.9982,62.2203,Riots,5
Russia,58.9982,62.2203,Violence against civilians,26
Russia,59.8736,32.9508,Explosions/Remote violence,20
Russia,59.8736,32.9508,Riots,1
Russia,59.8736,32.9508,Violence against civilians,13
Russia,59.9394,30.3506,Explosions/Remote violence,13
Russia,59.9394,30.3506,Riots,5
Russia,59.9394,30.3506,Violence against civilians,87
Russia,60.0458,40.9497,Explosions/Remote violence,1
Russia,60.0458,40.9497,Riots,1
Russia,60.0458,40.9497,Violence against civilians,6
Russia,62.1496,71.9298,Explosions/Remote violence,2
Russia,62.1496,71.9298,Riots,1
Russia,62.1496,71.9298,Violence against civilians,9
Russia,62.5878,154.066,Violence against civilians,2
Russia,63.5471,41.4717,Explosions/Remote violence,1
Russia,63.5471,41.4717,Riots,2
Russia,63.5471,41.4717,Violence against civilians,3
Russia,63.6722,33.3087,Explosions/Remote violence,1
Russia,63.6722,33.3087,Violence against civilians,1
Russia,63.8096,53.0964,Explosions/Remote violence,2
Russia,63.8096,53.0964,Riots,1
Russia,63.8096,53.0964,Violence against civilians,4
Russia,64.7437,129.3107,Violence against civilians,2
Russia,64.7479,95.8342,Riots,1
Russia,64.7479,95.8342,Violence against civilians,28
Russia,67.5743,69.2861,Violence against civilians,2
Russia,68.0046,34.5567,Explosions/Remote violence,3
Russia,68.0046,34.5567,Violence against civilians,4
Ukraine,42.7697,38.1352,Explosions/Remote violence,3
Ukraine,43.9783,30.1149,Explosions/Remote violence,22
Ukraine,44.4978,33.4874,Explosions/Remote violence,1
Ukraine,44.6222,33.4661,Explosions/Remote violence,3
Ukraine,45.306,34.1423,Explosions/Remote violence,353
Ukraine,45.306,34.1423,Riots,5
Ukraine,45.306,34.1423,Violence against civilians,60
Ukraine,46.0295,36.467,Explosions/Remote violence,5
Ukraine,46.729,30.5619,Explosions/Remote violence,683
Ukraine,46.729,30.5619,Riots,38
Ukraine,46.729,30.5619,Violence against civilians,40
Ukraine,46.7759,33.4838,Explosions/Remote violence,21906
Ukraine,46.7759,33.4838,Riots,15
Ukraine,46.7759,33.4838,Violence against civilians,339
Ukraine,47.2038,35.6963,Explosions/Remote violence,16516
Ukraine,47.2038,35.6963,Riots,19
Ukraine,47.2038,35.6963,Violence against civilians,201
Ukraine,47.416,31.9603,Explosions/Remote violence,3387
Ukraine,47.416,31.9603,Riots,4
Ukraine,47.416,31.9603,Violence against civilians,21
Ukraine,48.0458,37.8392,Explosions/Remote violence,57348
Ukraine,48.0458,37.8392,Riots,4
Ukraine,48.0458,37.8392,Violence against civilians,148
Ukraine,48.2002,25.7745,Explosions/Remote violence,7
Ukraine,48.2002,25.7745,Riots,6
Ukraine,48.2002,25.7745,Violence against civilians,4
Ukraine,48.3228,35.1654,Explosions/Remote violence,5026
Ukraine,48.3228,35.1654,Riots,22
Ukraine,48.3228,35.1654,Violence against civilians,30
Ukraine,48.3353,32.2443,Explosions/Remote violence,131
Ukraine,48.3353,32.2443,Riots,3
Ukraine,48.3353,32.2443,Violence against civilians,8
Ukraine,48.4969,23.035,Explosions/Remote violence,12
Ukraine,48.4969,23.035,Riots,11
Ukraine,48.4969,23.035,Violence against civilians,6
Ukraine,48.633,24.691,Explosions/Remote violence,54
Ukraine,48.633,24.691,Riots,6
Ukraine,48.633,24.691,Violence against civilians,4
Ukraine,48.9564,38.8906,Explosions/Remote violence,10139
Ukraine,48.9564,38.8906,Riots,2
Ukraine,48.9564,38.8906,Violence against civilians,67
Ukraine,48.9819,28.5387,Explosions/Remote violence,67
Ukraine,48.9819,28.5387,Riots,9
Ukraine,48.9819,28.5387,Violence against civilians,8
Ukraine,49.3396,31.6048,Explosions/Remote violence,131
Ukraine,49.3396,31.6048,Riots,14
Ukraine,49.3396,31.6048,Violence against civilians,5
Ukraine,49.3869,25.5249,Explosions/Remote violence,33
Ukraine,49.3869,25.5249,Riots,5
Ukraine,49.3869,25.5249,Violence against civilians,3
Ukraine,49.4986,36.6649,Explosions/Remote violence,18363
Ukraine,49.4986,36.6649,Riots,36
Ukraine,49.4986,36.6649,Violence against civilians,209
Ukraine,49.5267,26.9499,Explosions/Remote violence,127
Ukraine,49.5267,26.9499,Riots,5
Ukraine,49.5267,26.9499,Violence against civilians,3
Ukraine,49.639,34.0764,Explosions/Remote violence,201
Ukraine,49.639,34.0764,Riots,6
Ukraine,49.639,34.0764,Violence against civilians,5
Ukraine,49.6799,23.8938,Explosions/Remote violence,97
Ukraine,49.6799,23.8938,Riots,22
Ukraine,49.6799,23.8938,Violence against civilians,15
Ukraine,50.3543,31.4261,Explosions/Remote violence,469
Ukraine,50.3543,31.4261,Riots,14
Ukraine,50.3543,31.4261,Violence against civilians,176
Ukraine,50.4017,30.6164,Explosions/Remote violence,473
Ukraine,50.4017,30.6164,Riots,157
Ukraine,50.4017,30.6164,Violence against civilians,77
Ukraine,50.6307,28.3335,Explosions/Remote violence,151
Ukraine,50.6307,28.3335,Riots,3
Ukraine,50.6307,28.3335,Violence against civilians,7
Ukraine,50.9778,26.6492,Explosions/Remote violence,51
Ukraine,50.9778,26.6492,Riots,12
Ukraine,50.9778,26.6492,Violence against civilians,5
Ukraine,51.1282,24.9367,Explosions/Remote violence,25
Ukraine,51.1282,24.9367,Riots,9
Ukraine,51.1282,24.9367,Violence against civilians,4
Ukraine,51.2386,33.6755,Explosions/Remote violence,24503
Ukraine,51.2386,33.6755,Riots,4
Ukraine,51.2386,33.6755,Violence against civilians,32
Ukraine,51.3624,31.8357,Explosions/Remote violence,7731
Ukraine,51.3624,31.8357,Riots,7
Ukraine,51.3624,31.8357,Violence against civilians,72
