WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
10/06/2018,Mexico,Riots,1,22.0396,-102.3127
10/27/2018,Mexico,Riots,1,22.0396,-102.3127
05/18/2019,Mexico,Riots,1,22.0396,-102.3127
05/25/2019,Mexico,Riots,1,22.0396,-102.3127
06/01/2019,Mexico,Riots,1,22.0396,-102.3127
06/08/2019,Mexico,Riots,1,22.0396,-102.3127
10/05/2019,Mexico,Riots,1,22.0396,-102.3127
01/29/2022,Mexico,Riots,1,22.0396,-102.3127
07/08/2023,Mexico,Riots,1,22.0396,-102.3127
04/28/2018,Mexico,Riots,1,22.0396,-102.3127
05/18/2019,Mexico,Riots,1,22.0396,-102.3127
03/06/2021,Mexico,Riots,1,22.0396,-102.3127
06/01/2019,Mexico,Violence against civilians,1,22.0396,-102.3127
10/09/2021,Mexico,Violence against civilians,1,22.0396,-102.3127
05/11/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
02/01/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
02/08/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
04/07/2018,Mexico,Violence against civilians,1,22.0396,-102.3127
08/11/2018,Mexico,Violence against civilians,1,22.0396,-102.3127
11/17/2018,Mexico,Violence against civilians,1,22.0396,-102.3127
02/02/2019,Mexico,Violence against civilians,2,22.0396,-102.3127
06/01/2019,Mexico,Violence against civilians,1,22.0396,-102.3127
10/26/2019,Mexico,Violence against civilians,1,22.0396,-102.3127
01/11/2020,Mexico,Violence against civilians,1,22.0396,-102.3127
02/15/2020,Mexico,Violence against civilians,1,22.0396,-102.3127
07/04/2020,Mexico,Violence against civilians,1,22.0396,-102.3127
12/26/2020,Mexico,Violence against civilians,1,22.0396,-102.3127
01/16/2021,Mexico,Violence against civilians,1,22.0396,-102.3127
10/09/2021,Mexico,Violence against civilians,1,22.0396,-102.3127
01/01/2022,Mexico,Violence against civilians,1,22.0396,-102.3127
09/03/2022,Mexico,Violence against civilians,1,22.0396,-102.3127
10/29/2022,Mexico,Violence against civilians,1,22.0396,-102.3127
11/12/2022,Mexico,Violence against civilians,1,22.0396,-102.3127
12/17/2022,Mexico,Violence against civilians,1,22.0396,-102.3127
01/21/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
02/18/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
03/18/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
04/01/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
07/15/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
07/29/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
08/05/2023,Mexico,Violence against civilians,1,22.0396,-102.3127
01/20/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
02/10/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
03/23/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
06/22/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
07/13/2024,Mexico,Violence against civilians,4,22.0396,-102.3127
08/31/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
09/28/2024,Mexico,Violence against civilians,1,22.0396,-102.3127
01/11/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
01/25/2025,Mexico,Violence against civilians,3,22.0396,-102.3127
02/22/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
03/01/2025,Mexico,Violence against civilians,2,22.0396,-102.3127
06/28/2025,Mexico,Violence against civilians,2,22.0396,-102.3127
07/05/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
08/09/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
09/13/2025,Mexico,Violence against civilians,1,22.0396,-102.3127
10/11/2025,Mexico,Explosions/Remote violence,1,30.3589,-115.2442
01/01/2022,Mexico,Explosions/Remote violence,1,30.3589,-115.2442
01/27/2024,Mexico,Explosions/Remote violence,1,30.3589,-115.2442
03/17/2018,Mexico,Riots,1,30.3589,-115.2442
03/31/2018,Mexico,Riots,3,30.3589,-115.2442
06/02/2018,Mexico,Riots,1,30.3589,-115.2442
12/15/2018,Mexico,Riots,2,30.3589,-115.2442
