COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENT_TYPE,EVENTS
Algeria,23.7125,2.3839,Explosions/Remote violence,2
Algeria,23.7125,2.3839,Riots,15
Algeria,23.7125,2.3839,Violence against civilians,27
Algeria,24.1208,9.5878,Explosions/Remote violence,1
Algeria,24.1208,9.5878,Riots,2
Algeria,24.1208,9.5878,Violence against civilians,4
Algeria,26.4839,-1.388,Explosions/Remote violence,5
Algeria,26.4839,-1.388,Riots,8
Algeria,26.4839,-1.388,Violence against civilians,5
Algeria,27.1778,3.5079,Riots,1
Algeria,27.5815,-6.2692,Explosions/Remote violence,2
Algeria,27.5815,-6.2692,Riots,13
Algeria,27.5815,-6.2692,Violence against civilians,30
Algeria,27.8543,7.813,Riots,2
Algeria,27.8543,7.813,Violence against civilians,3
Algeria,31.0812,6.7619,Explosions/Remote violence,1
Algeria,31.0812,6.7619,Riots,34
Algeria,31.0812,6.7619,Violence against civilians,1
Algeria,31.3901,-2.0171,Riots,8
Algeria,31.3901,-2.0171,Violence against civilians,6
Algeria,32.4424,3.5564,Explosions/Remote violence,1
Algeria,32.4424,3.5564,Riots,55
Algeria,32.4424,3.5564,Violence against civilians,6
Algeria,32.6085,1.1104,Violence against civilians,4
Algeria,33.2206,7.145,Explosions/Remote violence,2
Algeria,33.2206,7.145,Riots,9
Algeria,33.2206,7.145,Violence against civilians,3
Algeria,33.2335,-0.8184,Riots,2
Algeria,33.75,2.6387,Explosions/Remote violence,1
Algeria,33.75,2.6387,Riots,3
Algeria,33.75,2.6387,Violence against civilians,4
Algeria,34.3471,3.2122,Explosions/Remote violence,6
Algeria,34.3471,3.2122,Riots,8
Algeria,34.3471,3.2122,Violence against civilians,11
Algeria,34.6734,-1.2952,Explosions/Remote violence,6
Algeria,34.6734,-1.2952,Riots,6
Algeria,34.6734,-1.2952,Violence against civilians,5
Algeria,34.687,-0.4403,Explosions/Remote violence,14
Algeria,34.687,-0.4403,Riots,11
Algeria,34.687,-0.4403,Violence against civilians,4
Algeria,34.7465,0.2395,Explosions/Remote violence,1
Algeria,34.7465,0.2395,Riots,2
Algeria,34.7465,0.2395,Violence against civilians,5
Algeria,34.7877,5.8096,Explosions/Remote violence,3
Algeria,34.7877,5.8096,Riots,21
Algeria,34.7877,5.8096,Violence against civilians,4
Algeria,34.8971,1.5912,Explosions/Remote violence,4
Algeria,34.8971,1.5912,Riots,17
Algeria,34.8971,1.5912,Violence against civilians,22
Algeria,34.9162,6.9044,Explosions/Remote violence,17
Algeria,34.9162,6.9044,Riots,13
Algeria,34.9162,6.9044,Violence against civilians,2
Algeria,35.1195,7.8944,Explosions/Remote violence,35
Algeria,35.1195,7.8944,Riots,1
Algeria,35.1195,7.8944,Violence against civilians,6
Algeria,35.1252,4.2104,Explosions/Remote violence,8
Algeria,35.1252,4.2104,Riots,11
Algeria,35.1252,4.2104,Violence against civilians,5
Algeria,35.3408,5.7313,Explosions/Remote violence,16
Algeria,35.3408,5.7313,Riots,13
Algeria,35.3408,5.7313,Violence against civilians,9
Algeria,35.3667,-0.9465,Riots,1
Algeria,35.3667,-0.9465,Violence against civilians,2
Algeria,35.4004,0.2405,Explosions/Remote violence,2
Algeria,35.4004,0.2405,Riots,5
Algeria,35.4004,0.2405,Violence against civilians,15
Algeria,35.6229,-0.7035,Riots,21
Algeria,35.6229,-0.7035,Violence against civilians,8
Algeria,35.7883,1.8328,Explosions/Remote violence,4
Algeria,35.7883,1.8328,Riots,1
Algeria,35.7883,1.8328,Violence against civilians,9
Algeria,35.8129,7.0175,Explosions/Remote violence,1
Algeria,35.8129,7.0175,Riots,5
Algeria,35.8129,7.0175,Violence against civilians,1
Algeria,35.8388,0.9109,Explosions/Remote violence,2
Algeria,35.8388,0.9109,Riots,3
Algeria,35.8388,0.9109,Violence against civilians,21
Algeria,35.9778,3.0121,Explosions/Remote violence,10
Algeria,35.9778,3.0121,Violence against civilians,56
Algeria,36.004,0.368,Riots,10
Algeria,36.004,0.368,Violence against civilians,1
Algeria,36.0977,4.6633,Explosions/Remote violence,2
Algeria,36.0977,4.6633,Riots,12
Algeria,36.0977,4.6633,Violence against civilians,5
Algeria,36.1089,5.5587,Explosions/Remote violence,1
