WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
09/01/2018,Israel,Explosions/Remote violence,3,30.6783,34.8831
09/15/2018,Israel,Explosions/Remote violence,10,30.6783,34.8831
09/22/2018,Israel,Explosions/Remote violence,18,30.6783,34.8831
09/29/2018,Israel,Explosions/Remote violence,7,30.6783,34.8831
10/06/2018,Israel,Explosions/Remote violence,10,30.6783,34.8831
10/13/2018,Israel,Explosions/Remote violence,2,30.6783,34.8831
10/20/2018,Israel,Explosions/Remote violence,11,30.6783,34.8831
10/27/2018,Israel,Explosions/Remote violence,2,30.6783,34.8831
11/10/2018,Israel,Explosions/Remote violence,11,30.6783,34.8831
01/05/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
01/12/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/02/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/09/2019,Israel,Explosions/Remote violence,3,30.6783,34.8831
02/16/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/23/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
03/02/2019,Israel,Explosions/Remote violence,6,30.6783,34.8831
03/09/2019,Israel,Explosions/Remote violence,6,30.6783,34.8831
03/16/2019,Israel,Explosions/Remote violence,6,30.6783,34.8831
03/23/2019,Israel,Explosions/Remote violence,11,30.6783,34.8831
03/30/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/13/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
04/20/2019,Israel,Explosions/Remote violence,3,30.6783,34.8831
04/27/2019,Israel,Explosions/Remote violence,9,30.6783,34.8831
05/04/2019,Israel,Explosions/Remote violence,24,30.6783,34.8831
05/11/2019,Israel,Explosions/Remote violence,7,30.6783,34.8831
05/18/2019,Israel,Explosions/Remote violence,9,30.6783,34.8831
05/25/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
06/01/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
06/08/2019,Israel,Explosions/Remote violence,13,30.6783,34.8831
06/15/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/22/2019,Israel,Explosions/Remote violence,13,30.6783,34.8831
06/29/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
07/06/2019,Israel,Explosions/Remote violence,3,30.6783,34.8831
07/13/2019,Israel,Explosions/Remote violence,3,30.6783,34.8831
07/20/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
07/27/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
08/10/2019,Israel,Explosions/Remote violence,5,30.6783,34.8831
08/17/2019,Israel,Explosions/Remote violence,6,30.6783,34.8831
08/24/2019,Israel,Explosions/Remote violence,3,30.6783,34.8831
08/31/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/07/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
09/28/2019,Israel,Explosions/Remote violence,2,30.6783,34.8831
10/26/2019,Israel,Explosions/Remote violence,3,30.6783,34.8831
11/09/2019,Israel,Explosions/Remote violence,12,30.6783,34.8831
11/23/2019,Israel,Explosions/Remote violence,4,30.6783,34.8831
12/14/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
01/11/2020,Israel,Explosions/Remote violence,5,30.6783,34.8831
01/18/2020,Israel,Explosions/Remote violence,2,30.6783,34.8831
01/25/2020,Israel,Explosions/Remote violence,7,30.6783,34.8831
02/01/2020,Israel,Explosions/Remote violence,11,30.6783,34.8831
02/08/2020,Israel,Explosions/Remote violence,8,30.6783,34.8831
02/15/2020,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/22/2020,Israel,Explosions/Remote violence,7,30.6783,34.8831
03/21/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/02/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/23/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/13/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/20/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
08/08/2020,Israel,Explosions/Remote violence,20,30.6783,34.8831
08/15/2020,Israel,Explosions/Remote violence,24,30.6783,34.8831
08/22/2020,Israel,Explosions/Remote violence,13,30.6783,34.8831
08/29/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/19/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/10/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/17/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/14/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/21/2020,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/20/2021,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/10/2021,Israel,Explosions/Remote violence,2,30.6783,34.8831
04/17/2021,Israel,Explosions/Remote violence,2,30.6783,34.8831
04/24/2021,Israel,Explosions/Remote violence,4,30.6783,34.8831
05/01/2021,Israel,Explosions/Remote violence,3,30.6783,34.8831
05/08/2021,Israel,Explosions/Remote violence,28,30.6783,34.8831
05/15/2021,Israel,Explosions/Remote violence,40,30.6783,34.8831
05/22/2021,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/29/2021,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/12/2021,Israel,Explosions/Remote violence,3,30.6783,34.8831
06/26/2021,Israel,Explosions/Remote violence,4,30.6783,34.8831
07/03/2021,Israel,Explosions/Remote violence,1,30.6783,34.8831
07/24/2021,Israel,Explosions/Remote violence,2,30.6783,34.8831
07/31/2021,Israel,Explosions/Remote violence,3,30.6783,34.8831
08/21/2021,Israel,Explosions/Remote violence,3,30.6783,34.8831
08/28/2021,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/04/2021,Israel,Explosions/Remote violence,2,30.6783,34.8831
04/16/2022,Israel,Explosions/Remote violence,3,30.6783,34.8831
07/16/2022,Israel,Explosions/Remote violence,2,30.6783,34.8831
07/30/2022,Israel,Explosions/Remote violence,3,30.6783,34.8831
08/06/2022,Israel,Explosions/Remote violence,13,30.6783,34.8831
12/03/2022,Israel,Explosions/Remote violence,1,30.6783,34.8831
01/21/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
01/28/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/11/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/18/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/04/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/18/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/01/2023,Israel,Explosions/Remote violence,5,30.6783,34.8831
04/29/2023,Israel,Explosions/Remote violence,4,30.6783,34.8831
05/06/2023,Israel,Explosions/Remote violence,26,30.6783,34.8831
05/13/2023,Israel,Explosions/Remote violence,6,30.6783,34.8831
09/16/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/23/2023,Israel,Explosions/Remote violence,4,30.6783,34.8831
10/07/2023,Israel,Explosions/Remote violence,48,30.6783,34.8831
10/14/2023,Israel,Explosions/Remote violence,31,30.6783,34.8831
10/21/2023,Israel,Explosions/Remote violence,17,30.6783,34.8831
10/28/2023,Israel,Explosions/Remote violence,30,30.6783,34.8831
11/04/2023,Israel,Explosions/Remote violence,10,30.6783,34.8831
11/11/2023,Israel,Explosions/Remote violence,11,30.6783,34.8831
11/18/2023,Israel,Explosions/Remote violence,5,30.6783,34.8831
11/25/2023,Israel,Explosions/Remote violence,5,30.6783,34.8831
12/02/2023,Israel,Explosions/Remote violence,10,30.6783,34.8831
12/09/2023,Israel,Explosions/Remote violence,4,30.6783,34.8831
12/16/2023,Israel,Explosions/Remote violence,5,30.6783,34.8831
12/23/2023,Israel,Explosions/Remote violence,2,30.6783,34.8831
12/30/2023,Israel,Explosions/Remote violence,2,30.6783,34.8831
01/06/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
01/13/2024,Israel,Explosions/Remote violence,9,30.6783,34.8831
01/27/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/03/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/10/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/17/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/24/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
03/02/2024,Israel,Explosions/Remote violence,5,30.6783,34.8831
03/09/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/16/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/23/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
03/30/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
04/06/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
04/13/2024,Israel,Explosions/Remote violence,9,30.6783,34.8831
04/20/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
04/27/2024,Israel,Explosions/Remote violence,4,30.6783,34.8831
05/04/2024,Israel,Explosions/Remote violence,13,30.6783,34.8831
05/11/2024,Israel,Explosions/Remote violence,14,30.6783,34.8831
05/18/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
05/25/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
06/01/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
06/08/2024,Israel,Explosions/Remote violence,7,30.6783,34.8831
06/15/2024,Israel,Explosions/Remote violence,8,30.6783,34.8831
06/22/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
06/29/2024,Israel,Explosions/Remote violence,6,30.6783,34.8831
07/06/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
07/13/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
07/20/2024,Israel,Explosions/Remote violence,6,30.6783,34.8831
07/27/2024,Israel,Explosions/Remote violence,4,30.6783,34.8831
08/03/2024,Israel,Explosions/Remote violence,5,30.6783,34.8831
08/10/2024,Israel,Explosions/Remote violence,6,30.6783,34.8831
08/17/2024,Israel,Explosions/Remote violence,3,30.6783,34.8831
08/24/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/07/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/14/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/28/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
10/05/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
10/12/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/02/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/09/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/16/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/23/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
12/07/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
12/14/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
12/21/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
12/28/2024,Israel,Explosions/Remote violence,5,30.6783,34.8831
01/04/2025,Israel,Explosions/Remote violence,2,30.6783,34.8831
03/22/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/05/2025,Israel,Explosions/Remote violence,2,30.6783,34.8831
05/10/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/17/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/31/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/14/2025,Israel,Explosions/Remote violence,13,30.6783,34.8831
06/21/2025,Israel,Explosions/Remote violence,3,30.6783,34.8831
07/05/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
07/26/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
08/09/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/06/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/20/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/27/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/04/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/27/2016,Israel,Riots,1,30.6783,34.8831
03/05/2016,Israel,Riots,1,30.6783,34.8831
07/30/2016,Israel,Riots,1,30.6783,34.8831
03/18/2017,Israel,Riots,1,30.6783,34.8831
07/22/2017,Israel,Riots,1,30.6783,34.8831
09/09/2017,Israel,Riots,1,30.6783,34.8831
02/03/2018,Israel,Riots,1,30.6783,34.8831
05/12/2018,Israel,Riots,1,30.6783,34.8831
05/19/2018,Israel,Riots,1,30.6783,34.8831
05/26/2018,Israel,Riots,1,30.6783,34.8831
06/09/2018,Israel,Riots,1,30.6783,34.8831
01/19/2019,Israel,Riots,2,30.6783,34.8831
03/16/2019,Israel,Riots,1,30.6783,34.8831
05/18/2019,Israel,Riots,1,30.6783,34.8831
06/01/2019,Israel,Riots,1,30.6783,34.8831
06/15/2019,Israel,Riots,1,30.6783,34.8831
06/22/2019,Israel,Riots,1,30.6783,34.8831
08/10/2019,Israel,Riots,1,30.6783,34.8831
08/17/2019,Israel,Riots,1,30.6783,34.8831
09/14/2019,Israel,Riots,1,30.6783,34.8831
10/12/2019,Israel,Riots,1,30.6783,34.8831
11/02/2019,Israel,Riots,1,30.6783,34.8831
01/18/2020,Israel,Riots,1,30.6783,34.8831
02/01/2020,Israel,Riots,1,30.6783,34.8831
10/03/2020,Israel,Riots,1,30.6783,34.8831
