COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENT_TYPE,EVENTS
Israel,25.4074,35.9101,Explosions/Remote violence,63
Israel,30.6783,34.8831,Explosions/Remote violence,1136
Israel,30.6783,34.8831,Riots,126
Israel,30.6783,34.8831,Violence against civilians,92
Israel,31.7281,34.9945,Explosions/Remote violence,29
Israel,31.7281,34.9945,Riots,470
Israel,31.7281,34.9945,Violence against civilians,23
Israel,32.085,34.9167,Explosions/Remote violence,166
Israel,32.085,34.9167,Riots,156
Israel,32.085,34.9167,Violence against civilians,53
Israel,32.0984,34.8103,Explosions/Remote violence,154
Israel,32.0984,34.8103,Riots,272
Israel,32.0984,34.8103,Violence against civilians,27
Israel,32.6278,34.9819,Explosions/Remote violence,210
Israel,32.6278,34.9819,Riots,98
Israel,32.6278,34.9819,Violence against civilians,23
Israel,32.839,35.3807,Explosions/Remote violence,3330
Israel,32.839,35.3807,Riots,121
Israel,32.839,35.3807,Violence against civilians,67
Israel,33.8438,28.4103,Explosions/Remote violence,9
Palestine,31.407,34.3577,Explosions/Remote violence,22021
Palestine,31.407,34.3577,Riots,836
Palestine,31.407,34.3577,Violence against civilians,1069
Palestine,31.9475,35.267,Explosions/Remote violence,646
Palestine,31.9475,35.267,Riots,27755
Palestine,31.9475,35.267,Violence against civilians,4800
