,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
821,Albania,Violence against civilians,41.2532,19.8102
822,Albania,Violence against civilians,41.2532,19.8102
823,Albania,Violence against civilians,41.2532,19.8102
824,Albania,Violence against civilians,41.2532,19.8102
825,Albania,Explosions/Remote violence,40.1474,19.7619
877,Albania,Riots,40.1474,19.7619
878,Albania,Riots,40.1474,19.7619
879,Albania,Riots,40.1474,19.7619
880,Albania,Riots,40.1474,19.7619
885,Albania,Violence against civilians,40.1474,19.7619
886,Albania,Violence against civilians,40.1474,19.7619
887,Albania,Violence against civilians,40.1474,19.7619
914,Andorra,Violence against civilians,42.4941,1.5082
1120,Armenia,Explosions/Remote violence,39.9541,44.8018
1121,Armenia,Explosions/Remote violence,39.9541,44.8018
1122,Armenia,Explosions/Remote violence,39.9541,44.8018
1123,Armenia,Explosions/Remote violence,39.9541,44.8018
1124,Armenia,Explosions/Remote violence,39.9541,44.8018
1125,Armenia,Explosions/Remote violence,39.9541,44.8018
1126,Armenia,Explosions/Remote violence,39.9541,44.8018
1127,Armenia,Explosions/Remote violence,39.9541,44.8018
1128,Armenia,Explosions/Remote violence,39.9541,44.8018
1129,Armenia,Explosions/Remote violence,39.9541,44.8018
1130,Armenia,Explosions/Remote violence,39.9541,44.8018
1131,Armenia,Explosions/Remote violence,39.9541,44.8018
1132,Armenia,Explosions/Remote violence,39.9541,44.8018
1133,Armenia,Explosions/Remote violence,39.9541,44.8018
1134,Armenia,Explosions/Remote violence,39.9541,44.8018
1135,Armenia,Explosions/Remote violence,39.9541,44.8018
1136,Armenia,Explosions/Remote violence,39.9541,44.8018
1137,Armenia,Explosions/Remote violence,39.9541,44.8018
1138,Armenia,Explosions/Remote violence,39.9541,44.8018
1139,Armenia,Explosions/Remote violence,39.9541,44.8018
1140,Armenia,Explosions/Remote violence,39.9541,44.8018
1193,Armenia,Riots,39.9541,44.8018
1194,Armenia,Riots,39.9541,44.8018
1196,Armenia,Violence against civilians,39.9541,44.8018
1197,Armenia,Violence against civilians,39.9541,44.8018
1198,Armenia,Violence against civilians,39.9541,44.8018
1199,Armenia,Violence against civilians,39.9541,44.8018
1200,Armenia,Violence against civilians,39.9541,44.8018
1201,Armenia,Violence against civilians,39.9541,44.8018
1202,Armenia,Violence against civilians,39.9541,44.8018
1281,Armenia,Riots,40.1503,44.0446
1282,Armenia,Riots,40.1503,44.0446
1283,Armenia,Riots,40.1503,44.0446
1284,Armenia,Riots,40.1503,44.0446
1285,Armenia,Riots,40.1503,44.0446
1286,Armenia,Riots,40.1503,44.0446
1287,Armenia,Riots,40.1503,44.0446
1288,Armenia,Riots,40.1503,44.0446
1289,Armenia,Riots,40.1503,44.0446
1481,Armenia,Explosions/Remote violence,40.307,45.408
1482,Armenia,Explosions/Remote violence,40.307,45.408
1483,Armenia,Explosions/Remote violence,40.307,45.408
1484,Armenia,Explosions/Remote violence,40.307,45.408
1485,Armenia,Explosions/Remote violence,40.307,45.408
1486,Armenia,Explosions/Remote violence,40.307,45.408
1487,Armenia,Explosions/Remote violence,40.307,45.408
1488,Armenia,Explosions/Remote violence,40.307,45.408
1489,Armenia,Explosions/Remote violence,40.307,45.408
1490,Armenia,Explosions/Remote violence,40.307,45.408
1491,Armenia,Explosions/Remote violence,40.307,45.408
1492,Armenia,Explosions/Remote violence,40.307,45.408
1493,Armenia,Explosions/Remote violence,40.307,45.408
1494,Armenia,Explosions/Remote violence,40.307,45.408
1495,Armenia,Explosions/Remote violence,40.307,45.408
1496,Armenia,Explosions/Remote violence,40.307,45.408
1497,Armenia,Explosions/Remote violence,40.307,45.408
1498,Armenia,Explosions/Remote violence,40.307,45.408
1499,Armenia,Explosions/Remote violence,40.307,45.408
1500,Armenia,Explosions/Remote violence,40.307,45.408
1501,Armenia,Explosions/Remote violence,40.307,45.408
1502,Armenia,Explosions/Remote violence,40.307,45.408
1503,Armenia,Explosions/Remote violence,40.307,45.408
1504,Armenia,Explosions/Remote violence,40.307,45.408
1505,Armenia,Explosions/Remote violence,40.307,45.408
1506,Armenia,Explosions/Remote violence,40.307,45.408
1574,Armenia,Violence against civilians,40.307,45.408
1575,Armenia,Violence against civilians,40.307,45.408
1576,Armenia,Violence against civilians,40.307,45.408
1577,Armenia,Explosions/Remote violence,40.4056,44.7202
1625,Armenia,Riots,40.4056,44.7202
1627,Armenia,Violence against civilians,40.4056,44.7202
1689,Armenia,Riots,40.959,44.5461
1690,Armenia,Riots,40.959,44.5461
1691,Armenia,Explosions/Remote violence,40.8115,43.8826
1790,Armenia,Riots,40.8115,43.8826
1791,Armenia,Riots,40.8115,43.8826
1794,Armenia,Violence against civilians,40.8115,43.8826
1795,Armenia,Violence against civilians,40.8115,43.8826
1897,Armenia,Explosions/Remote violence,39.3523,46.1498
1898,Armenia,Explosions/Remote violence,39.3523,46.1498
1899,Armenia,Explosions/Remote violence,39.3523,46.1498
1900,Armenia,Explosions/Remote violence,39.3523,46.1498
1901,Armenia,Explosions/Remote violence,39.3523,46.1498
1902,Armenia,Explosions/Remote violence,39.3523,46.1498
1903,Armenia,Explosions/Remote violence,39.3523,46.1498
1904,Armenia,Explosions/Remote violence,39.3523,46.1498
1905,Armenia,Explosions/Remote violence,39.3523,46.1498
1906,Armenia,Explosions/Remote violence,39.3523,46.1498
1907,Armenia,Explosions/Remote violence,39.3523,46.1498
1956,Armenia,Riots,39.3523,46.1498
1957,Armenia,Riots,39.3523,46.1498
1958,Armenia,Riots,39.3523,46.1498
1973,Armenia,Violence against civilians,39.3523,46.1498
1974,Armenia,Violence against civilians,39.3523,46.1498
1975,Armenia,Violence against civilians,39.3523,46.1498
1976,Armenia,Violence against civilians,39.3523,46.1498
1977,Armenia,Violence against civilians,39.3523,46.1498
1978,Armenia,Violence against civilians,39.3523,46.1498
1979,Armenia,Violence against civilians,39.3523,46.1498
1980,Armenia,Violence against civilians,39.3523,46.1498
1981,Armenia,Violence against civilians,39.3523,46.1498
1982,Armenia,Violence against civilians,39.3523,46.1498
1983,Armenia,Violence against civilians,39.3523,46.1498
2130,Armenia,Explosions/Remote violence,40.9719,45.155
2131,Armenia,Explosions/Remote violence,40.9719,45.155
2132,Armenia,Explosions/Remote violence,40.9719,45.155
2133,Armenia,Explosions/Remote violence,40.9719,45.155
2134,Armenia,Explosions/Remote violence,40.9719,45.155
2135,Armenia,Explosions/Remote violence,40.9719,45.155
2136,Armenia,Explosions/Remote violence,40.9719,45.155
2137,Armenia,Explosions/Remote violence,40.9719,45.155
2138,Armenia,Explosions/Remote violence,40.9719,45.155
2139,Armenia,Explosions/Remote violence,40.9719,45.155
2140,Armenia,Explosions/Remote violence,40.9719,45.155
2141,Armenia,Explosions/Remote violence,40.9719,45.155
2142,Armenia,Explosions/Remote violence,40.9719,45.155
2143,Armenia,Explosions/Remote violence,40.9719,45.155
2144,Armenia,Explosions/Remote violence,40.9719,45.155
2145,Armenia,Explosions/Remote violence,40.9719,45.155
2146,Armenia,Explosions/Remote violence,40.9719,45.155
2147,Armenia,Explosions/Remote violence,40.9719,45.155
2148,Armenia,Explosions/Remote violence,40.9719,45.155
2149,Armenia,Explosions/Remote violence,40.9719,45.155
2150,Armenia,Explosions/Remote violence,40.9719,45.155
2151,Armenia,Explosions/Remote violence,40.9719,45.155
2152,Armenia,Explosions/Remote violence,40.9719,45.155
2153,Armenia,Explosions/Remote violence,40.9719,45.155
2154,Armenia,Explosions/Remote violence,40.9719,45.155
2155,Armenia,Explosions/Remote violence,40.9719,45.155
2156,Armenia,Explosions/Remote violence,40.9719,45.155
