COUNTRY,ADMIN1,count
Israel,Eastern Mediterranean Sea,8
Israel,Southern District,375
Israel,Central District,200
Israel,Northern District,250
Israel,Haifa,113
Israel,Jerusalem District,312
Israel,North Red Sea,46
Israel,Tel Aviv,251
West Bank,Gaza,1097
West Bank,West Bank,1735
