COUNTRY,ADMIN1,count
Mexico,Aguascalientes,56
Mexico,Baja California,535
Mexico,Baja California Sur,145
Mexico,Campeche,391
Mexico,Chiapas,554
Mexico,Chihuahua,474
Mexico,Ciudad de Mexico,778
Mexico,Coahuila de Zaragoza,243
Mexico,Colima,415
Mexico,Durango,174
Mexico,Guanajuato,608
Mexico,Guerrero,721
Mexico,Hidalgo,593
Mexico,Jalisco,547
Mexico,Mexico,803
Mexico,Michoacan de Ocampo,821
Mexico,Morelos,543
Mexico,Nayarit,118
Mexico,Nuevo Leon,589
Mexico,Oaxaca,665
Mexico,Puebla,832
Mexico,Queretaro,63
Mexico,Quintana Roo,430
Mexico,San Luis Potosi,338
Mexico,Sinaloa,579
Mexico,Sonora,518
Mexico,Tabasco,499
Mexico,Tamaulipas,378
Mexico,Tlaxcala,141
Mexico,Veracruz de Ignacio de la Llave,846
Mexico,Yucatan,157
Mexico,Zacatecas,444
