WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
05/27/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
06/24/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
07/08/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
08/19/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
08/26/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
10/07/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
10/14/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
10/21/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
11/11/2023,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
02/17/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
03/02/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
05/18/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
08/10/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
08/17/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
08/24/2024,Mexico,Aguascalientes,Protests,Peaceful protest,2,0,20521.0,Demonstrations
08/31/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
09/07/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
09/21/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
10/12/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
11/23/2024,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
01/11/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
03/01/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
03/08/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
03/15/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
04/12/2025,Mexico,Aguascalientes,Protests,Peaceful protest,2,0,29551.0,Demonstrations
04/26/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
05/24/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
05/31/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
08/09/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
