COUNTRY,POPULATION_EXPOSURE
Mexico,8591636.0
Mexico,6976367.0
Mexico,7681892.0
Mexico,8226825.0
Mexico,8170671.0
Mexico,6762048.0
Mexico,6885967.0
Mexico,6544204.0
Mexico,5454741.0
Mexico,8649601.0
Mexico,5578695.0
Mexico,2616779.0
Mexico,7046964.0
Mexico,5906555.0
Mexico,7618813.0
