WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
07/04/2020,Mexico,8068036.0,153
07/05/2025,Mexico,7435129.0,161
07/06/2024,Mexico,7922880.0,171
07/08/2023,Mexico,7670458.0,150
07/09/2022,Mexico,9467416.0,139
07/10/2021,Mexico,8881137.0,162
07/11/2020,Mexico,8822705.0,169
07/12/2025,Mexico,9276147.0,148
07/13/2024,Mexico,9685791.0,176
07/15/2023,Mexico,9530422.0,171
07/16/2022,Mexico,6954560.0,136
07/17/2021,Mexico,9101652.0,157
07/18/2020,Mexico,9941520.0,166
07/19/2025,Mexico,7341123.0,162
07/20/2024,Mexico,9440363.0,158
07/22/2023,Mexico,7845924.0,148
07/23/2022,Mexico,9336683.0,151
07/24/2021,Mexico,8186070.0,186
07/25/2020,Mexico,7075423.0,110
07/26/2025,Mexico,8815074.0,191
07/27/2024,Mexico,9037700.0,163
07/29/2023,Mexico,11197026.0,173
07/30/2022,Mexico,8870169.0,182
07/31/2021,Mexico,5991819.0,131
08/01/2020,Mexico,8694574.0,162
08/02/2025,Mexico,8902157.0,148
08/03/2024,Mexico,9445307.0,154
08/05/2023,Mexico,7702100.0,150
08/06/2022,Mexico,9206651.0,143
08/07/2021,Mexico,7884895.0,172
08/08/2020,Mexico,8380252.0,145
08/09/2025,Mexico,8741081.0,133
08/10/2024,Mexico,9043057.0,137
08/12/2023,Mexico,8308420.0,156
08/13/2022,Mexico,8315557.0,104
08/14/2021,Mexico,7860648.0,151
08/15/2020,Mexico,7847740.0,158
08/16/2025,Mexico,8552447.0,170
08/17/2024,Mexico,8541584.0,134
08/19/2023,Mexico,7673852.0,149
08/20/2022,Mexico,12064263.0,157
08/21/2021,Mexico,6091656.0,127
08/22/2020,Mexico,9681399.0,147
08/23/2025,Mexico,11027516.0,125
08/24/2024,Mexico,9243963.0,177
08/26/2023,Mexico,8388459.0,171
08/27/2022,Mexico,9513987.0,132
08/28/2021,Mexico,7097068.0,134
08/29/2020,Mexico,8713706.0,143
08/30/2025,Mexico,8024370.0,134
08/31/2024,Mexico,6940785.0,108
09/02/2023,Mexico,9330403.0,180
09/03/2022,Mexico,9389443.0,119
09/04/2021,Mexico,6796934.0,182
09/05/2020,Mexico,12785702.0,181
09/06/2025,Mexico,5897437.0,138
09/07/2024,Mexico,9353495.0,148
09/09/2023,Mexico,6931204.0,130
09/10/2022,Mexico,8590285.0,151
09/11/2021,Mexico,6202328.0,167
09/12/2020,Mexico,7628084.0,115
09/13/2025,Mexico,7017559.0,156
09/14/2024,Mexico,9814303.0,211
09/16/2023,Mexico,8694454.0,105
09/17/2022,Mexico,9797739.0,172
09/18/2021,Mexico,7550908.0,146
09/19/2020,Mexico,9894615.0,139
09/20/2025,Mexico,7738918.0,160
09/21/2024,Mexico,8149496.0,206
09/23/2023,Mexico,8936153.0,141
09/24/2022,Mexico,9214234.0,148
09/25/2021,Mexico,7909365.0,129
09/26/2020,Mexico,7471377.0,169
09/27/2025,Mexico,8427993.0,144
09/28/2024,Mexico,9459430.0,229
09/30/2023,Mexico,7870622.0,108
10/01/2022,Mexico,7702324.0,152
10/02/2021,Mexico,5732488.0,114
10/03/2020,Mexico,6041099.0,167
10/04/2025,Mexico,9959967.0,165
10/05/2024,Mexico,12611811.0,186
10/07/2023,Mexico,8801055.0,119
10/08/2022,Mexico,9738192.0,131
10/09/2021,Mexico,6976201.0,150
10/10/2020,Mexico,7079792.0,117
10/11/2025,Mexico,8256084.0,146
10/12/2024,Mexico,13921945.0,209
10/14/2023,Mexico,7822811.0,119
10/15/2022,Mexico,10420891.0,177
10/16/2021,Mexico,7356281.0,143
10/17/2020,Mexico,5661244.0,142
