Region,PeacefulProtests(%),ViolentDemonstrations(%)
Africa,83.19913331186133,16.800866688138672
Asia Pacific,89.45870121297136,10.541298787028634
Europe Central Asia,95.15096803314364,4.849031966856351
Latin America Caribbean,85.65179177819505,14.348208221804962
Middle East,89.50486079654343,10.495139203456565
US Canada,95.00469987914596,4.995300120854035
