WEEK,COUNTRY,POPULATION_EXPOSURE
05/01/2021,Ukraine,531824.0
05/02/2020,Ukraine,478970.0
05/03/2025,Russia,527297.0
05/03/2025,Ukraine,3914634.0
05/04/2024,Russia,631761.0
05/04/2024,Ukraine,3184483.0
05/06/2023,Russia,251058.0
05/06/2023,Ukraine,3875302.0
05/07/2022,Russia,525.0
05/07/2022,Ukraine,5411836.0
05/08/2021,Ukraine,769207.0
05/09/2020,Ukraine,286333.0
05/10/2025,Russia,437414.0
05/10/2025,Ukraine,3661376.0
05/11/2024,Russia,672202.0
05/11/2024,Ukraine,3791028.0
05/13/2023,Russia,83708.0
05/13/2023,Ukraine,3558350.0
05/14/2022,Russia,27698.0
05/14/2022,Ukraine,4480176.0
05/15/2021,Ukraine,181201.0
05/16/2020,Russia,17996.0
05/16/2020,Ukraine,289665.0
05/17/2025,Russia,338551.0
05/17/2025,Ukraine,3169388.0
05/18/2024,Russia,741800.0
05/18/2024,Ukraine,2849361.0
05/20/2023,Russia,96727.0
05/20/2023,Ukraine,3644118.0
05/21/2022,Russia,15147.0
05/21/2022,Ukraine,5495863.0
05/22/2021,Russia,331676.0
05/22/2021,Ukraine,301064.0
05/23/2020,Ukraine,307822.0
05/24/2025,Russia,1120158.0
05/24/2025,Ukraine,3797028.0
05/25/2024,Russia,710275.0
05/25/2024,Ukraine,2443655.0
05/27/2023,Russia,245863.0
05/27/2023,Ukraine,4720446.0
05/28/2022,Ukraine,4472799.0
05/30/2020,Russia,42894.0
05/30/2020,Ukraine,14449.0
05/31/2025,Russia,595060.0
05/31/2025,Ukraine,5221809.0
06/01/2024,Russia,686293.0
06/01/2024,Ukraine,4302066.0
06/03/2023,Russia,435284.0
06/03/2023,Ukraine,3496849.0
06/04/2022,Ukraine,4679711.0
06/05/2021,Ukraine,21904.0
06/07/2025,Russia,651622.0
06/07/2025,Ukraine,4550837.0
06/08/2024,Russia,227835.0
06/08/2024,Ukraine,2877605.0
06/10/2023,Russia,537521.0
06/10/2023,Ukraine,4197095.0
06/11/2022,Ukraine,4443985.0
06/12/2021,Ukraine,86827.0
06/13/2020,Ukraine,411503.0
06/14/2025,Russia,614525.0
06/14/2025,Ukraine,5312530.0
06/15/2024,Russia,637642.0
06/15/2024,Ukraine,2230735.0
06/17/2023,Ukraine,2793232.0
06/18/2022,Russia,37182.0
06/18/2022,Ukraine,4534748.0
06/19/2021,Ukraine,316609.0
06/20/2020,Ukraine,328273.0
06/21/2025,Russia,831109.0
06/21/2025,Ukraine,5571865.0
06/22/2024,Russia,1489397.0
06/22/2024,Ukraine,2828678.0
06/24/2023,Russia,382687.0
06/24/2023,Ukraine,3532735.0
06/25/2022,Ukraine,5480810.0
06/26/2021,Russia,205239.0
06/26/2021,Ukraine,207614.0
06/27/2020,Ukraine,191674.0
06/28/2025,Russia,1340562.0
06/28/2025,Ukraine,6055806.0
06/29/2024,Russia,749092.0
06/29/2024,Ukraine,3463739.0
07/01/2023,Russia,86416.0
07/01/2023,Ukraine,3647317.0
07/02/2022,Russia,144862.0
07/02/2022,Ukraine,4406925.0
07/03/2021,Ukraine,226704.0
07/04/2020,Ukraine,276933.0
07/05/2025,Russia,1283643.0
07/05/2025,Ukraine,5070210.0
07/06/2024,Russia,763749.0
07/06/2024,Ukraine,4694905.0
07/08/2023,Russia,216605.0
07/08/2023,Ukraine,2799264.0
07/09/2022,Ukraine,6561629.0
07/10/2021,Ukraine,358884.0
07/11/2020,Ukraine,320018.0
07/12/2025,Russia,1128825.0
07/12/2025,Ukraine,5073063.0
07/13/2024,Russia,346103.0
07/13/2024,Ukraine,3421092.0
07/15/2023,Russia,45311.0
07/15/2023,Ukraine,4101195.0
07/16/2022,Russia,596.0
07/16/2022,Ukraine,5472291.0
07/17/2021,Russia,151781.0
07/18/2020,Russia,6336.0
07/18/2020,Ukraine,131417.0
07/19/2025,Russia,489948.0
07/19/2025,Ukraine,5738231.0
07/20/2024,Russia,623455.0
07/20/2024,Ukraine,3075502.0
07/22/2023,Ukraine,3023757.0
07/23/2022,Russia,60241.0
07/23/2022,Ukraine,5561155.0
07/24/2021,Russia,246771.0
07/25/2020,Russia,217090.0
07/26/2025,Russia,1091508.0
07/26/2025,Ukraine,4639830.0
07/27/2024,Russia,329516.0
07/27/2024,Ukraine,3023357.0
07/29/2023,Ukraine,3228881.0
07/30/2022,Ukraine,4307812.0
07/31/2021,Russia,91751.0
08/01/2020,Russia,59144.0
08/02/2025,Russia,1408496.0
08/02/2025,Ukraine,4200784.0
08/03/2024,Russia,912727.0
08/03/2024,Ukraine,3006183.0
08/05/2023,Russia,55621.0
08/05/2023,Ukraine,2485441.0
08/06/2022,Ukraine,4360406.0
08/07/2021,Ukraine,355545.0
08/08/2020,Russia,10133.0
08/08/2020,Ukraine,14498.0
08/09/2025,Russia,1298367.0
08/09/2025,Ukraine,4244393.0
08/10/2024,Russia,354494.0
08/10/2024,Ukraine,2340733.0
08/12/2023,Russia,340644.0
08/12/2023,Ukraine,3060928.0
08/13/2022,Russia,347001.0
08/13/2022,Ukraine,4583849.0
08/14/2021,Ukraine,65837.0
08/15/2020,Russia,5924.0
08/15/2020,Ukraine,140593.0
08/16/2025,Russia,616644.0
08/16/2025,Ukraine,4759176.0
08/17/2024,Russia,248695.0
08/17/2024,Ukraine,2443127.0
08/19/2023,Russia,58029.0
08/19/2023,Ukraine,2445849.0
08/20/2022,Russia,84067.0
08/20/2022,Ukraine,5427915.0
08/21/2021,Ukraine,259970.0
08/22/2020,Russia,42130.0
08/22/2020,Ukraine,73869.0
08/23/2025,Russia,612838.0
08/23/2025,Ukraine,5172911.0
08/24/2024,Russia,1456384.0
08/24/2024,Ukraine,3998192.0
08/26/2023,Russia,39880.0
08/26/2023,Ukraine,2523945.0
08/27/2022,Ukraine,4980321.0
08/28/2021,Ukraine,19907.0
08/30/2025,Russia,442080.0
08/30/2025,Ukraine,4930121.0
08/31/2024,Russia,729875.0
08/31/2024,Ukraine,4195945.0
09/02/2023,Russia,55637.0
09/02/2023,Ukraine,3229829.0
09/03/2022,Ukraine,4990749.0
09/04/2021,Russia,115667.0
09/05/2020,Ukraine,83722.0
09/06/2025,Russia,1440282.0
09/06/2025,Ukraine,5501186.0
09/07/2024,Russia,520404.0
09/07/2024,Ukraine,3228359.0
09/09/2023,Russia,9451.0
09/09/2023,Ukraine,2269461.0
09/10/2022,Russia,166561.0
09/10/2022,Ukraine,6681445.0
09/11/2021,Ukraine,271014.0
09/12/2020,Russia,16368.0
09/12/2020,Ukraine,19628.0
09/13/2025,Russia,875313.0
09/13/2025,Ukraine,4736777.0
09/14/2024,Russia,954897.0
09/14/2024,Ukraine,4440352.0
09/16/2023,Russia,455243.0
09/16/2023,Ukraine,2918588.0
09/17/2022,Russia,38575.0
09/17/2022,Ukraine,5953694.0
09/18/2021,Ukraine,202664.0
09/20/2025,Russia,1429010.0
09/20/2025,Ukraine,4758144.0
09/21/2024,Russia,1074639.0
09/21/2024,Ukraine,4709175.0
09/23/2023,Ukraine,2582907.0
09/24/2022,Russia,233662.0
09/24/2022,Ukraine,6242084.0
09/25/2021,Ukraine,123084.0
09/26/2020,Ukraine,68906.0
09/27/2025,Russia,505143.0
09/27/2025,Ukraine,5420552.0
09/28/2024,Russia,984607.0
09/28/2024,Ukraine,3637290.0
09/30/2023,Russia,189294.0
09/30/2023,Ukraine,2558391.0
10/01/2022,Russia,58976.0
10/01/2022,Ukraine,4797956.0
10/02/2021,Russia,38234.0
10/03/2020,Ukraine,35690.0
10/04/2025,Russia,585336.0
10/04/2025,Ukraine,4665804.0
10/05/2024,Russia,516355.0
10/05/2024,Ukraine,3745385.0
10/07/2023,Russia,268920.0
10/07/2023,Ukraine,1712891.0
10/08/2022,Russia,175586.0
10/08/2022,Ukraine,5604875.0
10/10/2020,Russia,644785.0
10/10/2020,Ukraine,73272.0
10/11/2025,Russia,825274.0
10/11/2025,Ukraine,4538352.0
10/12/2024,Russia,339315.0
10/12/2024,Ukraine,3897502.0
10/14/2023,Russia,2994.0
10/14/2023,Ukraine,4395132.0
10/15/2022,Russia,59366.0
10/15/2022,Ukraine,3617320.0
10/16/2021,Ukraine,39215.0
10/17/2020,Ukraine,68590.0
10/19/2024,Russia,616306.0
10/19/2024,Ukraine,4580265.0
10/21/2023,Ukraine,2429912.0
10/22/2022,Russia,24108.0
10/22/2022,Ukraine,3336483.0
10/23/2021,Ukraine,439725.0
10/24/2020,Russia,25038.0
10/24/2020,Ukraine,111020.0
10/26/2024,Russia,549417.0
10/26/2024,Ukraine,4350561.0
10/28/2023,Ukraine,3060908.0
10/29/2022,Ukraine,4573428.0
10/30/2021,Ukraine,370390.0
10/31/2020,Ukraine,76380.0
11/02/2024,Russia,318665.0
11/02/2024,Ukraine,4014894.0
11/04/2023,Russia,24.0
11/04/2023,Ukraine,3576886.0
11/05/2022,Ukraine,5282257.0
11/06/2021,Ukraine,420971.0
11/09/2024,Russia,245602.0
11/09/2024,Ukraine,3578646.0
11/11/2023,Russia,227966.0
11/11/2023,Ukraine,2151314.0
11/12/2022,Russia,188874.0
11/12/2022,Ukraine,3847579.0
11/13/2021,Ukraine,356134.0
11/16/2024,Russia,356504.0
11/16/2024,Ukraine,4845180.0
11/18/2023,Ukraine,2861908.0
11/19/2022,Russia,474641.0
11/19/2022,Ukraine,2784504.0
11/20/2021,Russia,60371.0
11/20/2021,Ukraine,151358.0
11/21/2020,Ukraine,77214.0
11/23/2024,Russia,409241.0
11/23/2024,Ukraine,3514748.0
11/25/2023,Ukraine,2877186.0
11/26/2022,Ukraine,3714585.0
11/27/2021,Russia,5002.0
11/27/2021,Ukraine,393727.0
11/28/2020,Ukraine,280441.0
11/30/2024,Russia,300403.0
11/30/2024,Ukraine,2535748.0
12/02/2023,Russia,10016.0
12/02/2023,Ukraine,4278506.0
12/03/2022,Russia,191521.0
12/03/2022,Ukraine,3733995.0
12/04/2021,Russia,715243.0
12/04/2021,Ukraine,32012.0
12/05/2020,Russia,20001.0
12/07/2024,Russia,569206.0
12/07/2024,Ukraine,2151689.0
12/09/2023,Russia,4.0
12/09/2023,Ukraine,2735903.0
12/10/2022,Russia,7370.0
12/10/2022,Ukraine,3307929.0
12/12/2020,Russia,75884.0
12/12/2020,Ukraine,178123.0
12/14/2024,Russia,1379017.0
12/14/2024,Ukraine,3424188.0
12/16/2023,Russia,64.0
12/16/2023,Ukraine,2995342.0
12/17/2022,Russia,406330.0
12/17/2022,Ukraine,3384162.0
12/18/2021,Ukraine,143009.0
12/21/2024,Russia,722368.0
12/21/2024,Ukraine,2681405.0
12/23/2023,Russia,258211.0
12/23/2023,Ukraine,4720556.0
12/24/2022,Ukraine,3381872.0
12/25/2021,Ukraine,170691.0
12/26/2020,Russia,106614.0
12/28/2024,Russia,137705.0
12/28/2024,Ukraine,3147272.0
12/30/2023,Russia,308614.0
12/30/2023,Ukraine,3948117.0
12/31/2022,Russia,247020.0
12/31/2022,Ukraine,3074444.0
