WEEK,COUNTRY,POPULATION_EXPOSURE
07/25/2020,Mexico,5916890.0
07/26/2025,Mexico,8023688.0
07/27/2024,Mexico,8099247.0
07/29/2023,Mexico,9709046.0
07/30/2022,Mexico,8008087.0
07/31/2021,Mexico,5457420.0
08/01/2020,Mexico,7839893.0
08/02/2025,Mexico,7600851.0
08/03/2024,Mexico,8489598.0
08/05/2023,Mexico,6763384.0
08/06/2022,Mexico,8239402.0
08/07/2021,Mexico,7252461.0
08/08/2020,Mexico,7484006.0
08/09/2025,Mexico,8105767.0
08/10/2024,Mexico,7402499.0
08/12/2023,Mexico,7795804.0
08/13/2022,Mexico,7785809.0
08/14/2021,Mexico,7138243.0
08/15/2020,Mexico,6671463.0
08/16/2025,Mexico,7487629.0
08/17/2024,Mexico,7701055.0
08/19/2023,Mexico,6583122.0
08/20/2022,Mexico,10535552.0
08/21/2021,Mexico,5371139.0
08/22/2020,Mexico,7685158.0
08/23/2025,Mexico,9540813.0
08/24/2024,Mexico,8203083.0
08/26/2023,Mexico,7738735.0
08/27/2022,Mexico,8573555.0
08/28/2021,Mexico,6374393.0
08/29/2020,Mexico,7655651.0
08/30/2025,Mexico,7564628.0
08/31/2024,Mexico,6066833.0
09/02/2023,Mexico,8460401.0
09/03/2022,Mexico,8418370.0
09/04/2021,Mexico,6318156.0
09/05/2020,Mexico,11525772.0
09/06/2025,Mexico,5004036.0
09/07/2024,Mexico,8531561.0
09/09/2023,Mexico,6227845.0
09/10/2022,Mexico,7838591.0
09/11/2021,Mexico,5454671.0
09/12/2020,Mexico,6688247.0
09/13/2025,Mexico,5670420.0
09/14/2024,Mexico,9074281.0
09/16/2023,Mexico,7426094.0
09/17/2022,Mexico,9095872.0
09/18/2021,Mexico,6339351.0
09/19/2020,Mexico,8603047.0
09/20/2025,Mexico,6426190.0
09/21/2024,Mexico,6788630.0
09/23/2023,Mexico,7696759.0
09/24/2022,Mexico,7943183.0
09/25/2021,Mexico,6528605.0
09/26/2020,Mexico,5902192.0
09/27/2025,Mexico,6704273.0
09/28/2024,Mexico,8024172.0
09/30/2023,Mexico,6502949.0
10/01/2022,Mexico,7150905.0
10/02/2021,Mexico,5111547.0
10/03/2020,Mexico,5307982.0
10/04/2025,Mexico,9048698.0
10/05/2024,Mexico,11557174.0
10/07/2023,Mexico,7906878.0
10/08/2022,Mexico,7856854.0
10/09/2021,Mexico,5795981.0
10/10/2020,Mexico,5785129.0
10/11/2025,Mexico,7293374.0
10/12/2024,Mexico,11634797.0
10/14/2023,Mexico,6582880.0
10/15/2022,Mexico,9724320.0
10/16/2021,Mexico,6461062.0
10/17/2020,Mexico,5300806.0
10/18/2025,Mexico,5568719.0
10/19/2024,Mexico,8193262.0
10/21/2023,Mexico,7042893.0
10/22/2022,Mexico,9961156.0
10/23/2021,Mexico,7479392.0
10/24/2020,Mexico,5193722.0
10/26/2024,Mexico,7415035.0
10/28/2023,Mexico,6074996.0
10/29/2022,Mexico,10242985.0
10/30/2021,Mexico,7783405.0
10/31/2020,Mexico,8584491.0
11/02/2024,Mexico,6316561.0
11/04/2023,Mexico,6896014.0
11/05/2022,Mexico,7950690.0
11/06/2021,Mexico,6216527.0
11/07/2020,Mexico,6938885.0
11/09/2024,Mexico,7271394.0
11/11/2023,Mexico,7090092.0
11/12/2022,Mexico,7655179.0
11/13/2021,Mexico,7657620.0
11/14/2020,Mexico,7973803.0
11/16/2024,Mexico,7239123.0
11/18/2023,Mexico,7371029.0
11/19/2022,Mexico,6770110.0
11/20/2021,Mexico,7848099.0
11/21/2020,Mexico,8325700.0
11/23/2024,Mexico,7189706.0
11/25/2023,Mexico,5840986.0
11/26/2022,Mexico,5527392.0
11/27/2021,Mexico,5546821.0
11/28/2020,Mexico,7475757.0
11/30/2024,Mexico,7184947.0
12/02/2023,Mexico,7164202.0
12/03/2022,Mexico,8893051.0
12/04/2021,Mexico,6343646.0
12/05/2020,Mexico,7380179.0
12/07/2024,Mexico,5408450.0
12/09/2023,Mexico,6913337.0
12/10/2022,Mexico,6803753.0
12/11/2021,Mexico,6730258.0
12/12/2020,Mexico,7818885.0
12/14/2024,Mexico,5872466.0
12/16/2023,Mexico,6630757.0
12/17/2022,Mexico,7554823.0
12/18/2021,Mexico,5629269.0
12/19/2020,Mexico,5703957.0
12/21/2024,Mexico,6284216.0
12/23/2023,Mexico,6127295.0
12/24/2022,Mexico,4472556.0
12/25/2021,Mexico,7532041.0
12/26/2020,Mexico,4510007.0
12/28/2019,Mexico,2327952.0
12/28/2024,Mexico,6341823.0
12/30/2023,Mexico,5421862.0
12/31/2022,Mexico,6594252.0
