REGION,Battles (%),Explosions/Remote violence (%),Violence against civilians (%),Protests (%),Riots (%)
Africa,26.968659950614573,7.962599011375142,26.590710224799917,28.109380941255157,10.368649871955213
Asia/Pacific,11.24135488133609,8.029252092037071,6.941970622297812,67.39009739811132,6.397325006217702
Europe/Central Asia,15.172248952996561,38.25204984048136,0.8881083271846779,44.07162230974674,1.6159705695906554
Latin America/Caribbean,17.075842337501683,0.8275657128640683,29.88566117144605,45.14431432984454,7.066616448343659
Middle East,13.333159035128714,36.98695051129289,7.848648154018608,32.44789845386599,9.3833438456938
US/Canada,0.033890047975599163,0.02118127998474948,0.46387003166601354,97.66900013767832,1.8120585026953178
