WEEK,COUNTRY,POPULATION_EXPOSURE
06/20/2020,Palestine,129678.0
06/21/2025,Israel,380685.0
06/21/2025,Palestine,2429698.0
06/22/2024,Palestine,2645238.0
06/24/2023,Palestine,181235.0
06/25/2022,Palestine,104043.0
06/26/2021,Palestine,2857.0
06/28/2025,Palestine,2814524.0
06/29/2024,Israel,32482.0
06/29/2024,Palestine,2475901.0
07/01/2023,Israel,83241.0
07/01/2023,Palestine,701063.0
07/02/2022,Palestine,554091.0
07/03/2021,Palestine,380784.0
07/04/2020,Palestine,113127.0
07/05/2025,Palestine,2916929.0
07/06/2024,Israel,30888.0
07/06/2024,Palestine,3054534.0
07/08/2023,Palestine,217534.0
07/12/2025,Palestine,2555592.0
07/13/2024,Israel,41530.0
07/13/2024,Palestine,2688797.0
07/15/2023,Palestine,780671.0
07/17/2021,Israel,13897.0
07/17/2021,Palestine,325307.0
07/19/2025,Palestine,2702409.0
07/20/2024,Israel,957.0
07/20/2024,Palestine,3176969.0
07/22/2023,Palestine,805821.0
07/23/2022,Palestine,92109.0
07/24/2021,Palestine,299300.0
07/25/2020,Palestine,8998.0
07/26/2025,Palestine,2896996.0
07/27/2024,Israel,46552.0
07/27/2024,Palestine,2482830.0
07/29/2023,Palestine,542622.0
07/30/2022,Palestine,442901.0
07/31/2021,Palestine,42051.0
08/01/2020,Palestine,249373.0
08/02/2025,Palestine,1961624.0
08/03/2024,Israel,211245.0
08/03/2024,Palestine,2404301.0
08/05/2023,Israel,27002.0
08/05/2023,Palestine,147739.0
08/06/2022,Palestine,994773.0
08/09/2025,Palestine,2267080.0
08/10/2024,Palestine,3237581.0
08/12/2023,Palestine,117722.0
08/13/2022,Palestine,160938.0
08/14/2021,Palestine,12613.0
08/15/2020,Palestine,586216.0
08/16/2025,Palestine,2185974.0
08/17/2024,Israel,59625.0
08/17/2024,Palestine,3080607.0
08/19/2023,Palestine,914348.0
08/21/2021,Palestine,55333.0
08/22/2020,Israel,114814.0
08/23/2025,Palestine,2344840.0
08/24/2024,Israel,55086.0
08/24/2024,Palestine,2865146.0
08/26/2023,Israel,14326.0
08/26/2023,Palestine,229530.0
08/27/2022,Palestine,196504.0
08/28/2021,Palestine,350169.0
08/30/2025,Palestine,2337643.0
08/31/2024,Palestine,3159632.0
09/02/2023,Palestine,157995.0
09/03/2022,Israel,40797.0
09/03/2022,Palestine,202142.0
09/04/2021,Palestine,34478.0
09/06/2025,Palestine,2179859.0
09/07/2024,Palestine,2322348.0
09/09/2023,Palestine,475124.0
09/10/2022,Palestine,125485.0
09/12/2020,Palestine,103708.0
09/13/2025,Palestine,2097459.0
09/14/2024,Israel,118612.0
09/14/2024,Palestine,2670211.0
09/16/2023,Palestine,488363.0
09/17/2022,Israel,129171.0
09/17/2022,Palestine,412404.0
09/18/2021,Israel,28725.0
09/18/2021,Palestine,6835.0
09/20/2025,Palestine,2557760.0
09/21/2024,Israel,600.0
09/21/2024,Palestine,2756082.0
09/23/2023,Palestine,567329.0
09/24/2022,Palestine,563333.0
09/25/2021,Palestine,157370.0
09/27/2025,Palestine,1250327.0
09/28/2024,Israel,43625.0
09/28/2024,Palestine,2184657.0
09/30/2023,Israel,45857.0
09/30/2023,Palestine,815630.0
10/01/2022,Palestine,777282.0
10/03/2020,Palestine,852512.0
10/04/2025,Palestine,2196589.0
10/05/2024,Israel,508990.0
10/05/2024,Palestine,2770843.0
10/07/2023,Israel,1948499.0
10/07/2023,Palestine,5094218.0
10/08/2022,Palestine,690400.0
10/09/2021,Palestine,317452.0
10/11/2025,Israel,43391.0
10/11/2025,Palestine,1816756.0
10/12/2024,Israel,142534.0
10/12/2024,Palestine,2546952.0
10/14/2023,Israel,410419.0
10/14/2023,Palestine,4135962.0
10/15/2022,Palestine,819535.0
10/18/2025,Palestine,1060459.0
10/19/2024,Israel,330529.0
10/19/2024,Palestine,3091978.0
10/21/2023,Israel,7285.0
10/21/2023,Palestine,3385163.0
10/22/2022,Palestine,632802.0
10/24/2020,Palestine,120755.0
10/26/2024,Israel,449060.0
10/26/2024,Palestine,2470266.0
10/28/2023,Israel,443779.0
10/28/2023,Palestine,4232319.0
10/29/2022,Palestine,1058159.0
10/30/2021,Palestine,98038.0
10/31/2020,Palestine,10950.0
11/02/2024,Israel,293212.0
11/02/2024,Palestine,3033695.0
11/04/2023,Israel,55569.0
11/04/2023,Palestine,3602427.0
11/05/2022,Palestine,827371.0
11/09/2024,Israel,229840.0
11/09/2024,Palestine,2242172.0
11/11/2023,Israel,96113.0
11/11/2023,Palestine,4094063.0
11/12/2022,Palestine,53783.0
11/13/2021,Palestine,34270.0
11/16/2024,Israel,243962.0
11/16/2024,Palestine,3109118.0
11/18/2023,Israel,6.0
11/18/2023,Palestine,4154314.0
11/19/2022,Israel,32976.0
11/19/2022,Palestine,173173.0
11/20/2021,Palestine,11480.0
11/21/2020,Palestine,22340.0
11/23/2024,Palestine,2611289.0
11/25/2023,Israel,14326.0
11/25/2023,Palestine,3053752.0
11/26/2022,Palestine,750163.0
11/27/2021,Israel,18684.0
11/28/2020,Palestine,392716.0
11/30/2024,Palestine,2382064.0
12/02/2023,Israel,47605.0
12/02/2023,Palestine,3960281.0
12/03/2022,Palestine,723376.0
12/04/2021,Palestine,27592.0
12/07/2024,Palestine,2555071.0
12/09/2023,Palestine,4339829.0
12/10/2022,Palestine,121881.0
12/11/2021,Palestine,239698.0
12/12/2020,Palestine,95443.0
12/14/2024,Palestine,2622131.0
12/16/2023,Israel,34892.0
12/16/2023,Palestine,4252218.0
12/17/2022,Israel,30994.0
12/17/2022,Palestine,231939.0
12/18/2021,Palestine,52368.0
12/19/2020,Palestine,43007.0
12/21/2024,Israel,58710.0
12/21/2024,Palestine,2332314.0
12/23/2023,Palestine,3722851.0
12/25/2021,Palestine,17775.0
12/26/2020,Palestine,393179.0
12/28/2024,Palestine,2222462.0
12/30/2023,Palestine,3598611.0
12/31/2022,Palestine,339371.0
