WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
03/28/2020,Ukraine,960433.0,4
03/29/2025,Russia,1498242.0,78
03/29/2025,Ukraine,4675067.0,1683
03/30/2024,Russia,1046664.0,33
03/30/2024,Ukraine,4879973.0,667
04/01/2023,Russia,470869.0,6
04/01/2023,Ukraine,3513107.0,510
04/02/2022,Russia,90047.0,0
04/02/2022,Ukraine,8241416.0,382
04/03/2021,Russia,309494.0,1
04/03/2021,Ukraine,660969.0,8
04/04/2020,Russia,142255.0,1
04/04/2020,Ukraine,709240.0,4
04/05/2025,Russia,1666771.0,85
04/05/2025,Ukraine,5742379.0,1662
04/06/2024,Russia,871384.0,6
04/06/2024,Ukraine,5647155.0,526
04/08/2023,Russia,390972.0,1
04/08/2023,Ukraine,2410662.0,1093
04/09/2022,Russia,82478.0,0
04/09/2022,Ukraine,7562835.0,788
04/10/2021,Russia,62929.0,0
04/10/2021,Ukraine,797101.0,4
04/11/2020,Russia,258979.0,1
04/11/2020,Ukraine,461564.0,1
04/12/2025,Russia,1536575.0,83
04/12/2025,Ukraine,5356627.0,2204
04/13/2024,Russia,1479733.0,3
04/13/2024,Ukraine,5610769.0,616
04/15/2023,Russia,477221.0,1
04/15/2023,Ukraine,3462711.0,322
04/16/2022,Russia,57567.0,0
04/16/2022,Ukraine,8073484.0,802
04/17/2021,Russia,292400.0,0
04/17/2021,Ukraine,1120849.0,6
04/18/2020,Russia,71389.0,0
04/18/2020,Ukraine,743126.0,1
04/19/2025,Russia,1714861.0,93
04/19/2025,Ukraine,6408984.0,1593
04/20/2024,Russia,976036.0,3
04/20/2024,Ukraine,5054033.0,787
04/22/2023,Russia,340076.0,4
04/22/2023,Ukraine,4416641.0,679
04/23/2022,Russia,71577.0,7
04/23/2022,Ukraine,7013100.0,704
04/24/2021,Russia,41480.0,0
04/24/2021,Ukraine,676189.0,1
04/25/2020,Russia,304809.0,3
04/25/2020,Ukraine,592676.0,2
04/26/2025,Russia,888250.0,12
04/26/2025,Ukraine,5203453.0,1628
04/27/2024,Russia,786036.0,3
04/27/2024,Ukraine,4741329.0,1072
04/29/2023,Russia,216624.0,4
04/29/2023,Ukraine,4467381.0,807
04/30/2022,Russia,153536.0,1
04/30/2022,Ukraine,6679272.0,889
05/01/2021,Ukraine,559434.0,9
05/02/2020,Russia,89473.0,0
05/02/2020,Ukraine,822116.0,2
05/03/2025,Russia,2596804.0,22
05/03/2025,Ukraine,5065709.0,1952
05/04/2024,Russia,848484.0,13
05/04/2024,Ukraine,5541766.0,1037
05/06/2023,Russia,1020813.0,2
05/06/2023,Ukraine,4789074.0,625
05/07/2022,Russia,84483.0,1
05/07/2022,Ukraine,6768653.0,1623
05/08/2021,Russia,6203.0,0
05/08/2021,Ukraine,976696.0,8
05/09/2020,Ukraine,932734.0,2
05/10/2025,Russia,573917.0,4
05/10/2025,Ukraine,5459393.0,1636
05/11/2024,Russia,1762920.0,27
05/11/2024,Ukraine,5001989.0,1617
05/13/2023,Russia,566083.0,11
05/13/2023,Ukraine,6095959.0,1260
05/14/2022,Russia,28895.0,4
05/14/2022,Ukraine,7738908.0,862
05/15/2021,Russia,188919.0,0
05/15/2021,Ukraine,751032.0,3
05/16/2020,Russia,17996.0,6
05/16/2020,Ukraine,652465.0,3
05/17/2025,Russia,862630.0,36
05/17/2025,Ukraine,5549871.0,1618
05/18/2024,Russia,1060028.0,5
05/18/2024,Ukraine,5670244.0,3281
05/20/2023,Russia,520683.0,7
05/20/2023,Ukraine,5072347.0,806
05/21/2022,Russia,22424.0,2
05/21/2022,Ukraine,6719766.0,642
05/22/2021,Russia,369391.0,1
05/22/2021,Ukraine,589924.0,1
05/23/2020,Ukraine,530370.0,4
05/24/2025,Russia,3451363.0,15
05/24/2025,Ukraine,6744536.0,1150
05/25/2024,Russia,1235170.0,9
05/25/2024,Ukraine,4292760.0,2133
05/27/2023,Russia,1141074.0,28
05/27/2023,Ukraine,5821421.0,767
05/28/2022,Russia,255811.0,0
05/28/2022,Ukraine,7447005.0,793
05/29/2021,Russia,95690.0,0
05/29/2021,Ukraine,554092.0,0
05/30/2020,Russia,42894.0,2
05/30/2020,Ukraine,746010.0,1
