WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
03/28/2020,Palestine,445504.0,1
03/29/2025,Israel,215795.0,0
03/29/2025,Palestine,2684554.0,530
03/30/2024,Israel,437404.0,4
03/30/2024,Palestine,3286242.0,465
04/01/2023,Israel,501474.0,2
04/01/2023,Palestine,1427045.0,6
04/02/2022,Israel,106751.0,3
04/02/2022,Palestine,844629.0,3
04/03/2021,Israel,62844.0,0
04/03/2021,Palestine,385573.0,2
04/04/2020,Israel,126528.0,0
04/04/2020,Palestine,214049.0,0
04/05/2025,Israel,273781.0,0
04/05/2025,Palestine,2643739.0,313
04/06/2024,Israel,131518.0,0
04/06/2024,Palestine,2624666.0,553
04/08/2023,Israel,90442.0,0
04/08/2023,Palestine,788102.0,5
04/09/2022,Israel,177777.0,1
04/09/2022,Palestine,1448186.0,13
04/10/2021,Israel,244518.0,0
04/10/2021,Palestine,504374.0,0
04/11/2020,Israel,101755.0,0
04/11/2020,Palestine,365987.0,0
04/12/2025,Israel,147998.0,0
04/12/2025,Palestine,2918544.0,326
04/13/2024,Israel,251924.0,1
04/13/2024,Palestine,2584283.0,390
04/15/2023,Israel,41221.0,0
04/15/2023,Palestine,619910.0,1
04/16/2022,Israel,280020.0,0
04/16/2022,Palestine,1491584.0,2
04/17/2021,Israel,318651.0,0
04/17/2021,Palestine,708226.0,0
04/18/2020,Israel,135507.0,0
04/18/2020,Palestine,360907.0,2
04/19/2025,Israel,11108.0,0
04/19/2025,Palestine,2416441.0,376
04/20/2024,Israel,199558.0,1
04/20/2024,Palestine,2861126.0,344
04/22/2023,Israel,156445.0,2
04/22/2023,Palestine,561396.0,3
04/23/2022,Israel,7364.0,0
04/23/2022,Palestine,606794.0,3
04/24/2021,Israel,238824.0,0
04/24/2021,Palestine,1481607.0,0
04/25/2020,Israel,349583.0,0
04/25/2020,Palestine,168673.0,0
04/26/2025,Israel,177391.0,0
04/26/2025,Palestine,2764841.0,376
04/27/2024,Israel,184021.0,1
04/27/2024,Palestine,2895089.0,282
04/29/2023,Israel,265372.0,0
04/29/2023,Palestine,1149768.0,6
04/30/2022,Israel,148989.0,3
04/30/2022,Palestine,620293.0,1
05/01/2021,Israel,77817.0,0
05/01/2021,Palestine,702047.0,6
05/02/2020,Israel,4718.0,0
05/02/2020,Palestine,430002.0,0
05/03/2025,Israel,153942.0,0
05/03/2025,Palestine,3209660.0,371
05/04/2024,Israel,334640.0,7
05/04/2024,Palestine,2949242.0,340
05/06/2023,Israel,901383.0,2
05/06/2023,Palestine,1359969.0,40
05/07/2022,Israel,53544.0,0
05/07/2022,Palestine,568267.0,6
05/08/2021,Israel,2551504.0,15
05/08/2021,Palestine,3402655.0,171
05/09/2020,Israel,31796.0,0
05/09/2020,Palestine,328017.0,3
05/10/2025,Israel,200122.0,0
05/10/2025,Palestine,2793844.0,481
05/11/2024,Israel,532526.0,1
05/11/2024,Palestine,3168724.0,884
05/13/2023,Israel,300261.0,1
05/13/2023,Palestine,1037813.0,4
05/14/2022,Israel,36841.0,0
05/14/2022,Palestine,501685.0,0
05/15/2021,Israel,1351779.0,3
05/15/2021,Palestine,3823351.0,130
05/16/2020,Israel,27115.0,0
05/16/2020,Palestine,562525.0,2
05/17/2025,Israel,139992.0,1
05/17/2025,Palestine,3235135.0,666
05/18/2024,Israel,275410.0,0
05/18/2024,Palestine,3433733.0,638
05/20/2023,Israel,18347.0,0
05/20/2023,Palestine,672232.0,6
05/21/2022,Israel,52956.0,0
05/21/2022,Palestine,741566.0,3
05/22/2021,Israel,64381.0,0
05/22/2021,Palestine,612276.0,3
05/23/2020,Israel,112.0,0
05/23/2020,Palestine,302081.0,1
05/24/2025,Israel,107049.0,0
05/24/2025,Palestine,3372648.0,484
05/25/2024,Israel,524188.0,1
05/25/2024,Palestine,3753250.0,565
05/27/2023,Israel,42577.0,0
05/27/2023,Palestine,576378.0,3
05/28/2022,Israel,51735.0,0
05/28/2022,Palestine,1136626.0,5
05/29/2021,Israel,153875.0,0
05/29/2021,Palestine,747286.0,2
05/30/2020,Israel,98387.0,0
05/30/2020,Palestine,676859.0,1
05/31/2025,Israel,138424.0,0
05/31/2025,Palestine,3451953.0,482
06/01/2024,Israel,324990.0,1
06/01/2024,Palestine,2952674.0,475
06/03/2023,Israel,41545.0,4
06/03/2023,Palestine,952059.0,1
06/04/2022,Israel,55887.0,1
06/04/2022,Palestine,696525.0,1
06/05/2021,Israel,190476.0,0
06/05/2021,Palestine,476022.0,5
06/06/2020,Israel,124274.0,0
06/06/2020,Palestine,681558.0,0
06/07/2025,Israel,131634.0,2
06/07/2025,Palestine,2959217.0,583
06/08/2024,Israel,279197.0,1
06/08/2024,Palestine,2931469.0,568
06/10/2023,Israel,55654.0,0
06/10/2023,Palestine,662609.0,2
06/11/2022,Israel,145940.0,0
06/11/2022,Palestine,529607.0,3
06/12/2021,Israel,224977.0,0
06/12/2021,Palestine,916323.0,3
06/13/2020,Israel,18279.0,0
06/13/2020,Palestine,586891.0,0
06/14/2025,Israel,2052934.0,26
06/14/2025,Palestine,3170614.0,587
06/15/2024,Israel,160611.0,0
06/15/2024,Palestine,2581337.0,367
06/17/2023,Israel,34730.0,0
06/17/2023,Palestine,1090757.0,19
06/18/2022,Israel,86577.0,0
06/18/2022,Palestine,816728.0,3
06/19/2021,Israel,100504.0,0
06/19/2021,Palestine,496862.0,3
06/20/2020,Israel,4718.0,0
06/20/2020,Palestine,725999.0,2
06/21/2025,Israel,1184991.0,4
06/21/2025,Palestine,2589507.0,507
06/22/2024,Israel,171827.0,0
06/22/2024,Palestine,3206261.0,508
06/24/2023,Israel,133930.0,0
06/24/2023,Palestine,649554.0,1
06/25/2022,Palestine,482394.0,1
06/26/2021,Israel,156878.0,0
06/26/2021,Palestine,521422.0,1
06/27/2020,Israel,25560.0,0
06/27/2020,Palestine,510137.0,0
06/28/2025,Israel,51416.0,0
06/28/2025,Palestine,2889582.0,804
06/29/2024,Israel,260378.0,2
06/29/2024,Palestine,3147634.0,566
07/01/2023,Israel,229072.0,1
07/01/2023,Palestine,1746148.0,17
07/02/2022,Israel,104223.0,0
07/02/2022,Palestine,621561.0,3
07/03/2021,Israel,26200.0,0
07/03/2021,Palestine,764549.0,1
07/04/2020,Palestine,622405.0,1
07/05/2025,Israel,15167.0,0
07/05/2025,Palestine,3093806.0,599
07/06/2024,Israel,281561.0,2
07/06/2024,Palestine,3313391.0,580
07/08/2023,Israel,180811.0,0
07/08/2023,Palestine,715653.0,1
07/09/2022,Israel,51735.0,0
07/09/2022,Palestine,569958.0,0
07/10/2021,Israel,15319.0,0
07/10/2021,Palestine,175983.0,0
07/11/2020,Israel,39121.0,0
07/11/2020,Palestine,474309.0,0
07/12/2025,Israel,57174.0,0
07/12/2025,Palestine,3248250.0,724
07/13/2024,Israel,261602.0,3
07/13/2024,Palestine,3096016.0,567
07/15/2023,Israel,111402.0,0
07/15/2023,Palestine,811286.0,4
07/16/2022,Israel,106039.0,0
07/16/2022,Palestine,694863.0,0
07/17/2021,Israel,90632.0,1
07/17/2021,Palestine,345614.0,1
07/18/2020,Israel,163395.0,0
07/18/2020,Palestine,491281.0,0
07/19/2025,Israel,322517.0,0
07/19/2025,Palestine,2706614.0,674
07/20/2024,Israel,220414.0,1
07/20/2024,Palestine,3367631.0,518
07/22/2023,Israel,132317.0,0
07/22/2023,Palestine,951594.0,5
07/23/2022,Israel,57583.0,0
07/23/2022,Palestine,564866.0,5
07/24/2021,Israel,241253.0,0
07/24/2021,Palestine,413157.0,7
07/25/2020,Israel,60030.0,0
07/25/2020,Palestine,497652.0,1
07/26/2025,Israel,132136.0,0
07/26/2025,Palestine,2965061.0,662
07/27/2024,Israel,309800.0,1
07/27/2024,Palestine,3381135.0,462
07/29/2023,Palestine,658460.0,5
07/30/2022,Israel,35366.0,0
07/30/2022,Palestine,799489.0,12
07/31/2021,Israel,146121.0,0
07/31/2021,Palestine,448807.0,2
08/01/2020,Israel,33786.0,0
08/01/2020,Palestine,410003.0,1
08/02/2025,Israel,218964.0,0
08/02/2025,Palestine,2614599.0,604
08/03/2024,Israel,504120.0,4
08/03/2024,Palestine,3115400.0,429
08/05/2023,Israel,31088.0,2
08/05/2023,Palestine,704065.0,5
08/06/2022,Israel,424415.0,0
08/06/2022,Palestine,1545345.0,42
08/07/2021,Israel,47705.0,0
08/07/2021,Palestine,627980.0,0
08/08/2020,Israel,154560.0,0
08/08/2020,Palestine,621715.0,0
08/09/2025,Israel,46875.0,0
08/09/2025,Palestine,2670839.0,515
08/10/2024,Israel,139391.0,0
08/10/2024,Palestine,3470469.0,612
08/12/2023,Israel,90352.0,0
08/12/2023,Palestine,558483.0,4
08/13/2022,Israel,266257.0,0
08/13/2022,Palestine,821200.0,3
08/14/2021,Israel,115968.0,0
08/14/2021,Palestine,434057.0,4
08/15/2020,Israel,231363.0,0
08/15/2020,Palestine,1049850.0,4
08/16/2025,Israel,231069.0,0
08/16/2025,Palestine,2624573.0,417
08/17/2024,Israel,228386.0,2
08/17/2024,Palestine,3234215.0,730
08/19/2023,Israel,97380.0,0
08/19/2023,Palestine,1007280.0,5
08/20/2022,Israel,29818.0,0
