COUNTRY,POPULATION_EXPOSURE,FATALITIES
Russia,480864.0,0
Ukraine,4743511.0,441
Russia,548439.0,15
Ukraine,7343301.0,787
Russia,227219.0,0
Ukraine,487236.0,4
Russia,64911.0,0
Ukraine,397539.0,1
Russia,1962111.0,12
Ukraine,7042653.0,1040
Russia,2012027.0,260
Ukraine,6013701.0,1485
Russia,896986.0,1
Ukraine,3481363.0,580
Russia,101236.0,4
Ukraine,6973272.0,1450
Russia,182260.0,1
Ukraine,227461.0,0
Ukraine,597857.0,1
Russia,2237776.0,5
Ukraine,7485612.0,1353
Russia,2120540.0,195
Ukraine,5428405.0,1576
Russia,479683.0,8
Ukraine,4500024.0,1095
Russia,295198.0,4
Ukraine,9501332.0,1406
Russia,325919.0,0
Ukraine,331831.0,0
Russia,795584.0,14
Ukraine,612706.0,1
Russia,2279513.0,12
Ukraine,6737906.0,1141
Russia,659360.0,251
Ukraine,5656600.0,1396
Russia,460444.0,1
Ukraine,7308956.0,1355
Russia,325832.0,12
Ukraine,6833404.0,1184
Russia,89748.0,0
Ukraine,545231.0,1
Russia,53661.0,0
Ukraine,474120.0,1
Russia,1981777.0,154
Ukraine,5402728.0,1717
Russia,89916.0,0
Ukraine,4076305.0,685
Russia,98223.0,2
Ukraine,6425694.0,1092
Russia,140589.0,0
Ukraine,648509.0,3
Russia,25352.0,1
Ukraine,521671.0,6
Russia,1180532.0,159
Ukraine,6820139.0,1803
Russia,845696.0,0
Ukraine,4928600.0,655
Russia,84423.0,0
Ukraine,6508819.0,1447
Russia,12122.0,0
Ukraine,1029865.0,2
Russia,33386.0,0
Ukraine,358293.0,2
Russia,1226117.0,180
Ukraine,7391098.0,1830
Russia,329010.0,1
Ukraine,4257424.0,852
Russia,72646.0,0
Ukraine,6314461.0,2004
Russia,124039.0,0
Ukraine,796604.0,7
Ukraine,419397.0,0
Russia,1187197.0,368
Ukraine,3949680.0,1918
Russia,908597.0,3
Ukraine,4564793.0,1202
Russia,248570.0,7
Ukraine,7299387.0,704
Russia,81578.0,0
Ukraine,716541.0,1
Russia,71144.0,0
Ukraine,278542.0,0
Russia,1440744.0,128
Ukraine,6623051.0,1999
Russia,140535.0,0
Ukraine,4589864.0,728
Russia,505865.0,9
Ukraine,4769375.0,614
Russia,397237.0,2
Ukraine,611097.0,1
Ukraine,354069.0,1
Russia,1087036.0,73
Ukraine,7233939.0,2371
Russia,523586.0,0
Ukraine,5202054.0,790
Russia,202367.0,0
Ukraine,4205714.0,1086
Russia,62205.0,1
Ukraine,598397.0,2
Russia,41026.0,0
Ukraine,717493.0,6
Russia,1125624.0,78
Ukraine,3462743.0,2059
Russia,308437.0,1
Ukraine,6424959.0,628
Russia,518282.0,3
Ukraine,5786532.0,470
Russia,715243.0,2
Ukraine,453199.0,2
Russia,20001.0,1
Ukraine,257152.0,0
Russia,1656582.0,81
Ukraine,5165719.0,1780
Russia,259179.0,1
Ukraine,4727546.0,819
Russia,204567.0,1
Ukraine,4979112.0,611
Russia,104076.0,0
Ukraine,620333.0,0
Russia,75884.0,3
Ukraine,448138.0,2
Russia,1942363.0,93
Ukraine,4676863.0,1941
Russia,215314.0,1
Ukraine,4693229.0,742
Russia,456686.0,4
Ukraine,4653412.0,755
Ukraine,420854.0,1
Russia,74217.0,0
Ukraine,244952.0,0
Russia,2164700.0,119
Ukraine,3740516.0,1933
Russia,270858.0,3
Ukraine,5977436.0,845
Ukraine,4770556.0,1091
Russia,67262.0,0
Ukraine,367648.0,1
Russia,106614.0,3
Ukraine,316265.0,0
Ukraine,221164.0,0
Russia,729355.0,84
Ukraine,5336128.0,1733
Russia,412323.0,28
Ukraine,6574733.0,767
Russia,295922.0,1
Ukraine,3527893.0,923
