WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
07/31/2021,North America,Canada,Alberta,Protests,Peaceful protest,12,0,33261,Demonstrations,485,54.498,-115.0035
08/07/2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,33586,Demonstrations,485,54.498,-115.0035
08/14/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,29819,Demonstrations,485,54.498,-115.0035
08/21/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1771,Demonstrations,485,54.498,-115.0035
08/28/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,29819,Demonstrations,485,54.498,-115.0035
09/04/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,7910,Demonstrations,485,54.498,-115.0035
09/11/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,29819,Demonstrations,485,54.498,-115.0035
09/18/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,29819,Demonstrations,485,54.498,-115.0035
09/25/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,7949,Demonstrations,485,54.498,-115.0035
10/02/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,23680,Demonstrations,485,54.498,-115.0035
10/09/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,29819,Demonstrations,485,54.498,-115.0035
10/16/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30196,Demonstrations,485,54.498,-115.0035
10/23/2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,7910,Demonstrations,485,54.498,-115.0035
10/30/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,33261,Demonstrations,485,54.498,-115.0035
11/13/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,31590,Demonstrations,485,54.498,-115.0035
11/20/2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,31000,Demonstrations,485,54.498,-115.0035
11/27/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,8740,Demonstrations,485,54.498,-115.0035
12/04/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7910,Demonstrations,485,54.498,-115.0035
12/11/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,9091,Demonstrations,485,54.498,-115.0035
12/18/2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,10588,Demonstrations,485,54.498,-115.0035
01/01/2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30053,Demonstrations,485,54.498,-115.0035
01/08/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30053,Demonstrations,485,54.498,-115.0035
01/22/2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,12221,Demonstrations,485,54.498,-115.0035
01/29/2022,North America,Canada,Alberta,Protests,Peaceful protest,15,0,37031,Demonstrations,485,54.498,-115.0035
02/05/2022,North America,Canada,Alberta,Protests,Peaceful protest,10,0,31486,Demonstrations,485,54.498,-115.0035
02/12/2022,North America,Canada,Alberta,Protests,Peaceful protest,9,0,32412,Demonstrations,485,54.498,-115.0035
02/19/2022,North America,Canada,Alberta,Protests,Peaceful protest,6,0,30053,Demonstrations,485,54.498,-115.0035
02/26/2022,North America,Canada,Alberta,Protests,Peaceful protest,8,0,43295,Demonstrations,485,54.498,-115.0035
03/05/2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30053,Demonstrations,485,54.498,-115.0035
03/12/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30433,Demonstrations,485,54.498,-115.0035
03/19/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,7972,Demonstrations,485,54.498,-115.0035
03/26/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,7972,Demonstrations,485,54.498,-115.0035
04/02/2022,North America,Canada,Alberta,Protests,Peaceful protest,12,0,53584,Demonstrations,485,54.498,-115.0035
04/09/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
04/16/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22081,Demonstrations,485,54.498,-115.0035
04/30/2022,North America,Canada,Alberta,Protests,Peaceful protest,6,0,31838,Demonstrations,485,54.498,-115.0035
05/07/2022,North America,Canada,Alberta,Protests,Peaceful protest,7,0,33127,Demonstrations,485,54.498,-115.0035
05/14/2022,North America,Canada,Alberta,Protests,Peaceful protest,6,0,39884,Demonstrations,485,54.498,-115.0035
05/21/2022,North America,Canada,Alberta,Protests,Peaceful protest,5,0,30053,Demonstrations,485,54.498,-115.0035
05/28/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30053,Demonstrations,485,54.498,-115.0035
06/04/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1145,Demonstrations,485,54.498,-115.0035
06/11/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22081,Demonstrations,485,54.498,-115.0035
06/18/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
06/25/2022,North America,Canada,Alberta,Protests,Peaceful protest,5,0,30053,Demonstrations,485,54.498,-115.0035
07/02/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
07/09/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22081,Demonstrations,485,54.498,-115.0035
07/16/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,22081,Demonstrations,485,54.498,-115.0035
07/23/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,22081,Demonstrations,485,54.498,-115.0035
07/30/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,7972,Demonstrations,485,54.498,-115.0035
08/06/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
08/13/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22081,Demonstrations,485,54.498,-115.0035
08/20/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7972,Demonstrations,485,54.498,-115.0035
08/27/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30053,Demonstrations,485,54.498,-115.0035
09/03/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
09/10/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,23869,Demonstrations,485,54.498,-115.0035
