YEAR,EVENTS,POPULATION_EXPOSURE
2019,24,138390.0
2020,21566,77285932.0
2021,14832,74954983.0
2022,14114,75525724.0
2023,13483,71776758.0
2024,12383,66854057.0
2025,15870,72564593.0
