EVENT_TYPE,Africa,Asia/Pacific,Europe/CentralAsia,LatinAmerica/Caribbean,MiddleEast,US/Canada
Battles,51495.145746579416,95351.81264357254,51983.28236040609,258199.194747186,58489.12234485631,119813.75
Explosions/Remote violence,45045.499150141644,89624.30370949526,151844.95941579423,83415.93813333333,59304.0847534504,75865.94736842105
Protests,24203.249344951557,84195.4703779678,22570.786173483648,29192.45269657202,37306.440887045756,27488.44603731063
Riots,38622.01389634401,125340.21550268611,54877.48886071364,66991.11870553774,77938.61127135566,66240.87534626039
Violence against civilians,36111.468157159296,109453.79761668322,50032.59962928638,199499.57808601935,51006.96714513557,70596.08937198068
