WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
03/23/2024,Russia,Explosions/Remote violence,53,50.6124,37.2397
03/30/2024,Russia,Explosions/Remote violence,45,50.6124,37.2397
04/06/2024,Russia,Explosions/Remote violence,56,50.6124,37.2397
04/13/2024,Russia,Explosions/Remote violence,51,50.6124,37.2397
04/20/2024,Russia,Explosions/Remote violence,43,50.6124,37.2397
04/27/2024,Russia,Explosions/Remote violence,56,50.6124,37.2397
05/04/2024,Russia,Explosions/Remote violence,91,50.6124,37.2397
05/11/2024,Russia,Explosions/Remote violence,85,50.6124,37.2397
05/18/2024,Russia,Explosions/Remote violence,100,50.6124,37.2397
05/25/2024,Russia,Explosions/Remote violence,143,50.6124,37.2397
06/01/2024,Russia,Explosions/Remote violence,231,50.6124,37.2397
06/08/2024,Russia,Explosions/Remote violence,180,50.6124,37.2397
06/15/2024,Russia,Explosions/Remote violence,171,50.6124,37.2397
06/22/2024,Russia,Explosions/Remote violence,178,50.6124,37.2397
06/29/2024,Russia,Explosions/Remote violence,165,50.6124,37.2397
07/06/2024,Russia,Explosions/Remote violence,211,50.6124,37.2397
07/13/2024,Russia,Explosions/Remote violence,188,50.6124,37.2397
07/20/2024,Russia,Explosions/Remote violence,227,50.6124,37.2397
07/27/2024,Russia,Explosions/Remote violence,214,50.6124,37.2397
08/03/2024,Russia,Explosions/Remote violence,196,50.6124,37.2397
08/10/2024,Russia,Explosions/Remote violence,167,50.6124,37.2397
08/17/2024,Russia,Explosions/Remote violence,227,50.6124,37.2397
08/24/2024,Russia,Explosions/Remote violence,192,50.6124,37.2397
08/31/2024,Russia,Explosions/Remote violence,132,50.6124,37.2397
09/07/2024,Russia,Explosions/Remote violence,174,50.6124,37.2397
09/14/2024,Russia,Explosions/Remote violence,142,50.6124,37.2397
09/21/2024,Russia,Explosions/Remote violence,199,50.6124,37.2397
09/28/2024,Russia,Explosions/Remote violence,221,50.6124,37.2397
10/05/2024,Russia,Explosions/Remote violence,205,50.6124,37.2397
10/12/2024,Russia,Explosions/Remote violence,117,50.6124,37.2397
10/19/2024,Russia,Explosions/Remote violence,137,50.6124,37.2397
10/26/2024,Russia,Explosions/Remote violence,159,50.6124,37.2397
11/02/2024,Russia,Explosions/Remote violence,74,50.6124,37.2397
11/09/2024,Russia,Explosions/Remote violence,118,50.6124,37.2397
11/16/2024,Russia,Explosions/Remote violence,149,50.6124,37.2397
11/23/2024,Russia,Explosions/Remote violence,113,50.6124,37.2397
11/30/2024,Russia,Explosions/Remote violence,118,50.6124,37.2397
12/07/2024,Russia,Explosions/Remote violence,85,50.6124,37.2397
12/14/2024,Russia,Explosions/Remote violence,158,50.6124,37.2397
12/21/2024,Russia,Explosions/Remote violence,110,50.6124,37.2397
12/28/2024,Russia,Explosions/Remote violence,137,50.6124,37.2397
01/04/2025,Russia,Explosions/Remote violence,137,50.6124,37.2397
01/11/2025,Russia,Explosions/Remote violence,154,50.6124,37.2397
01/18/2025,Russia,Explosions/Remote violence,157,50.6124,37.2397
01/25/2025,Russia,Explosions/Remote violence,147,50.6124,37.2397
02/01/2025,Russia,Explosions/Remote violence,185,50.6124,37.2397
02/08/2025,Russia,Explosions/Remote violence,270,50.6124,37.2397
02/15/2025,Russia,Explosions/Remote violence,201,50.6124,37.2397
02/22/2025,Russia,Explosions/Remote violence,195,50.6124,37.2397
03/01/2025,Russia,Explosions/Remote violence,179,50.6124,37.2397
